"","RPE1.T18","RPE1.T24"
"SLC16A1;SLC16A3",-0.0586743432712522,-0.0783258721728439
"MDM4;TP53",-2.3716849301452,-2.73158869587744
"APC;CTNNB1",0.174509541890572,0.106826138480274
"BRAF;MAP2K1",0.0191531772625068,-0.0869955572550478
"CCNE1;CDK2",0.0313007551578801,0.0213658366708664
"BRAF;PEA15",-0.0809178859183197,-0.0815537267068291
"CBFB;RUNX1",-0.571924928920166,-0.860325628252004
"SMARCA2;SMARCA4",0.191184153969469,0.148158221167292
"BRD4;KDM4C",0.219635379656505,0.284461359430397
"BRD4;KDM6B",0.303578875985856,0.289500541831612
"SRRM1;SRRM2",0.922809543651121,0.944890172942013
"TRA2A;TRA2B",0.501253373091503,0.506589098310507
"PAIP1;PAIP2",-0.131245485771978,-0.155635768667146
"EIF4E;EIF4E2",-0.174745184378971,-0.28618772140071
"ENO1;ENO2",0.869624261711037,0.98149035607576
"ENO1;ENO3",0.110564026893993,0.11297441508015
"ENO2;ENO3",0.456449719815168,0.423058915683543
"CREBBP;EP300",-0.227546344032211,-0.360140172017596
"BCL2L1;BCL2L2",0.160650457700706,0.160498540687318
"BCL2L1;MCL1",0.32047967797103,0.277424169129727
"PARP1;PARP2",-0.115089858357771,-0.0960499747923624
"MAPK1;MAPK3",0.278394753708946,0.193634313014546
"MDM2;TP53",-2.24661272817103,-2.50928564024126
"ABHD12;ABHD12B",-0.253338355073626,-0.300336366063224
"ABL1;ABL2",0.37079105039819,0.400295245702348
"DMWD;WDR20",-0.2996217951222,-0.475601516624012
"HNRNPL;HNRNPLL",0.410238505042019,0.358617288385576
"ACBD3;TMED8",-0.361042045786944,-0.407996439811025
"ACBD7;DBI",0.440015175929155,0.477998342132764
"ACSL1;ACSL6",-0.0164193410032442,-0.0246448522847403
"ACTR1A;ACTR1B",0.178030109374886,0.200389971077159
"ACVR2A;ACVR2B",0.0283849329615206,-0.109305227116492
"ADAMTS10;ADAMTS6",0.0338721095377495,0.00737989887344376
"ADAMTSL1;ADAMTSL3",0.329230319940353,0.387289162661553
"ADAP1;ADAP2",0.0205561332149086,-0.0002704435166479
"ADSS;ADSSL1",0.0206748373985089,0.0494025187055008
"AGPAT3;AGPAT4",-0.182934726837839,-0.205479355915301
"AHCYL1;AHCYL2",0.111704466530035,0.116499363330679
"AHNAK;AHNAK2",0.0368007919822559,-0.0595821271408668
"AHSA1;AHSA2",-0.136758740330118,-0.149508653159273
"AJUBA;WTIP",-0.267223094004363,-0.384498952534047
"AK1;AK5",-0.0686729538383584,-0.152064073671522
"AK3;AK4",-0.0827589372523844,-0.16094628581268
"ALMS1;C10orf90",-0.0836904668707905,-0.144174081391658
"AMOT;AMOTL2",-0.43154844704389,-0.495869316192401
"ANK2;ANK3",0.328185269106664,0.286554321634675
"ANKRD11;ANKRD12",0.424537038365462,0.456102794174683
"ANO4;ANO5",0.0536754241167718,0.0948138419714449
"ANXA5;ANXA6",-0.0814710633044767,0.00519617866326438
"AP1B1;AP2B1",-0.191060897663008,-0.234296386449043
"AP1G1;AP1G2",0.18433596257139,0.144291401376773
"AP2A1;AP2A2",0.0335427222786087,-0.0477329275555639
"AP3B1;AP3B2",-0.211912111755445,-0.333893303729881
"APBA2;APBA3",0.0425695505995687,-0.0160687656849442
"APBB2;APBB3",-0.198791026004436,-0.214594482244888
"APH1A;APH1B",0.176032799196179,0.132947970075407
"APLP1;APLP2",-0.297329339586106,-0.351047747810667
"ARAP2;ARAP3",-0.103706386908229,-0.141980472990799
"ARF4;ARF5",0.19564346688719,0.220420903069202
"ARFGEF1;ARFGEF2",0.450500273971585,0.390135124278223
"ARHGAP22;ARHGAP24",-0.490161724521064,-0.6160075562441
"ARHGAP31;ARHGAP33",0.166258209973761,0.21706109661752
"ARHGEF1;ARHGEF12",0.00876272863174099,-0.0677675260507416
"ARHGEF6;ARHGEF7",-0.147942333373684,-0.0725033143985638
"ARHGEF37;DNMBP",-0.0653513135998252,-0.118137545104561
"ARID1A;ARID1B",0.111544817323796,0.088552638269574
"ARL8A;ARL8B",-0.0289084576721542,-0.080469268471637
"ARNT;ARNT2",-2.89213381874815,-4.12314135950784
"ARPC5;ARPC5L",-0.142065101206524,-0.20259853371135
"ARPP19;ENSA",-0.20085848061179,-0.153136465032307
"ATAD2;ATAD2B",0.448196987294689,0.371352565834425
"ATF3;JDP2",-0.200194418320228,-0.248690119877167
"ATF6;ATF6B",0.121428134583119,0.152823441908936
"ATG4A;ATG4B",-0.303596881287003,-0.339127034269241
"ATG4C;ATG4D",-0.243182514712632,-0.321380376671048
"ATG16L1;ATG16L2",0.085099195813644,0.0280970833510033
"ATP6V0A1;ATP6V0A4",0.344812190288215,0.300786513530884
"ATP6V0A2;TCIRG1",-0.180550483179578,-0.214647715066674
"ATP6V1C1;ATP6V1C2",-0.205232931554795,-0.238519803123224
"ATP8A1;ATP8A2",0.0563465313169751,0.0763919335199678
"ATP9A;ATP9B",-0.00781806477274472,-0.000420912984401903
"ATRN;ATRNL1",0.564766575101608,0.562826638078088
"ATXN1;ATXN1L",0.0234553821398388,-0.0671205341952155
"ATXN7;ATXN7L2",-0.0638474704215042,-0.141805600668237
"AUH;ECHDC2",-0.300401472068669,-0.340623972475904
"AXIN1;AXIN2",-0.826911395361287,-1.1639349342783
"B4GALT5;B4GALT6",-0.383614752760177,-0.356489129543767
"BACH1;BACH2",0.496917917459503,0.517940537403522
"BAG3;BAG4",-0.0391115922237665,-0.0690460535943702
"BAIAP3;UNC13D",0.117572947626537,0.0970206191949176
"BANK1;PIK3AP1",0.0428714012362325,0.0349563259775452
"BCOR;BCORL1",-0.238717962811753,-0.366061755069632
"BEGAIN;TJAP1",0.14203027317969,0.0847834624911167
"BMI1;PCGF2",0.145719578703991,0.101167848764987
"BMPR1A;BMPR1B",-0.0416483102743688,-0.0231708453609852
"BRD7;BRD9",-0.398912178316094,-0.444413598101227
"BRMS1;BRMS1L",0.141468647470616,0.10857052499699
"BTBD1;BTBD2",0.166247160678617,0.170062342713203
"BTBD3;BTBD6",-0.165034223371796,-0.175939366271319
"BTBD10;KCTD20",-0.0209346973263456,-0.0400627173794497
"BTRC;FBXW11",0.479373149170468,0.470521411856772
"CAB39;CAB39L",-2.04701268374962,-2.82593397168069
"CALB1;CALB2",-0.394718423132804,-0.421027054017106
"CALM1;CALM2",-0.160355213447754,-0.153226719109371
"CAMKK1;CAMKK2",-0.126967771226233,-0.162736059651053
"CAND1;CAND2",-0.892706362546283,-1.52571819309856
"CANX;CLGN",0.245506325179981,0.290566287320871
"CAPRIN1;CAPRIN2",0.157782334723206,0.21697066430628
"CASKIN1;CASKIN2",0.0636002858930391,0.0157961024463112
"CASP3;CASP7",0.0731417525379078,0.0697115408792981
"CBX1;CBX5",0.097807873758239,0.0504679456339397
"CC2D1A;CC2D1B",-0.107388047240093,-0.146101875522518
"CCDC102A;CCDC102B",-0.15921305108453,-0.209314500936354
"CCNA1;CCNA2",0.478683057460289,0.397116115405053
"CCNB1;CCNB2",0.354510717965079,0.388003601306833
"CCND1;CCND2",0.00652961253041406,-0.0633969128029996
"CCNE1;CCNE2",0.0616541226258399,0.0404400430404175
"CCNG1;CCNG2",0.117384871551016,0.100694504000203
"CCNJ;CCNJL",-0.477502655023828,-0.534767942406772
"CCNL1;CCNL2",0.28652850600249,0.27980496959509
"CCNT1;CCNT2",0.244117669003235,0.200737465828134
"CCNY;CCNYL1",-0.254117712512893,-0.236296692322957
"CD151;TSPAN11",-0.058383250344037,-0.129544364567276
"CDC34;UBE2R2",-0.256064120188709,-0.334215331425475
"CDK2;CDK3",0.174677088860686,0.154466866102431
"CDK2AP1;CDK2AP2",0.136425285057822,0.0985666072201674
"CDK12;CDK13",0.177460525918404,0.13869755425347
"CDK14;CDK15",-0.204870443127744,-0.197256181602328
"CDKL2;CDKL3",-0.0117163296745109,-0.0374106194922915
"CEP85;CEP85L",0.65204791069303,0.69249831941671
"CERS5;CERS6",-0.247179266007527,-0.299197710942959
"CHCHD3;CHCHD6",-0.268192657887216,-0.361988385158437
"CHD1;CHD2",0.35825990685301,0.400746912677123
"CHD3;CHD5",0.0897108691573695,0.0389368387930833
"CHIC1;CHIC2",0.0422340796899019,0.091441655687688
"CHMP4A;CHMP4C",0.0547957358509231,0.00489085226525892
"CHPF;CHPF2",-0.358918207036802,-0.294247966229534
"CHSY1;CHSY3",-0.000527048033317538,0.0938625646213982
"CLCN3;CLCN4",-0.24036925155245,-0.239641582534637
"CLIP1;CLIP2",-0.196192231773682,-0.165902994863233
"CLOCK;NPAS2",-0.0716825444799355,-0.0587274248030569
"CLTC;CLTCL1",0.222946555643604,0.138988998424352
"CNKSR1;CNKSR3",0.0952821361981642,0.08225832363139
"CNOT7;CNOT8",0.453626729211067,0.419062995522313
"COMP;THBS3",0.147374477917115,0.0668919160477999
"COPG1;COPG2",0.0594909433030902,0.0942967237567175
"COPZ1;COPZ2",0.0747849686077278,0.0914243940996123
"COQ10A;COQ10B",0.147884275766917,0.131996355807576
