"","Meljuso","GI1_004","MEL202_003","PK1","MEWO","HS944T","IPC298","A549","HSC5","HS936T","PATU8988S"
"A3GALT2;ABO",-0.137329271803804,0.299715407243033,-0.0774583930399769,0.132500541230497,-0.0735337524657958,0.024593248298897,0.0839267426508419,-0.241322830616927,0.218900564808297,0.240917068169784,0.11876824215294
"A3GALT2;GBGT1",-0.0325566279295892,0.348610808923788,-0.150395523428028,0.360828671191734,-0.00504149948525279,0.234599524943212,0.215331766917721,-0.0547645018226222,0.363286527693115,0.303612851855909,0.197134814400042
"A3GALT2;GLT6D1",-0.105989291279395,0.200752413111479,-0.140968312966116,0.366193389963969,0.0182736969513914,0.0796417774140933,0.201932414866131,0.0629792691765278,0.540685584965237,0.138521509033229,0.13098070916489
"ABO;GBGT1",0.0314910159154266,0.315029203445512,-0.101635950671744,-0.028223713570778,0.0499283045003432,-0.0697519216994563,0.195146497176676,0.0104698350220686,0.402138138438642,0.293862758358853,0.221543802276389
"ABO;GLT6D1",-0.00266734186600798,0.118883823973144,-0.0248225140924252,0.281181978899822,0.11131687453612,0.0991924749209389,-0.0860015407784734,0.17718851478056,0.547079624852577,0.13401237771834,0.282740657362315
"GBGT1;GLT6D1",0.0708993231173999,0.296069205218566,-0.0284574169679647,0.403408765339626,0.122714029279516,0.00678505351749434,0.204552469907517,0.340024086004895,0.7090201882419,0.074830062567685,0.42632048948468
"ACACA;ACACB",-0.501315180800626,0.199360893220503,-0.246163369678662,0.176538535680266,-0.287344150424755,-0.387773247148504,-1.20041180773085,-0.750514222736355,-1.82514283389065,-0.989996050065479,-0.949975945250233
"ATP7A;ATP7B",0.0581424402791494,0.0611032311719179,-0.0318671050494002,0.0825920690956839,-0.0917452680815687,-0.207815781142401,-0.224939442893096,-0.326315750454077,-0.168063271999468,0.362855599112101,0.0365493367944802
"ATP9A;ATP9B",-0.124089812097311,-0.122992415617328,-0.119487776014786,-0.0809935163908705,-0.159137636986007,-0.0893184073245862,-0.304399349989196,-0.1766156136061,-0.14261546159281,-0.244313956496575,-0.146475335457301
"ATRN;ATRNL1",-0.105265420559183,-0.0848950426610346,0.0873112259894471,0.0623987482931175,-0.00656123178441054,-0.0885212646858929,0.00690015806057281,-0.213136855895454,-0.106358743035204,-0.238035372391975,-0.0363691378120101
"ATRX;RAD54L",-0.419916684330982,-0.178665682794626,-0.15563530532112,-0.651672452635014,0.124293975555502,-0.345856697048185,0.0916177959642533,0.000906872103298484,-0.150037554852512,-0.742591280362835,-0.07610326488783
"ATXN1;ATXN1L",-0.17944817195752,0.147484977068787,0.00628973661396964,0.175870150575805,0.0546351816573464,0.0490900200942665,0.312321853026443,0.173892828644621,0.106668378759802,0.128636340593895,-0.0321061903741797
"ATXN3;ATXN3L",-0.303396634423962,-0.239089623397189,-0.208212604575458,-0.095403359265185,-0.108453839832366,-0.145464877677687,-0.250016283787256,-0.293223794445138,-0.512355155059762,-0.376423787093975,-0.248936159974705
"AUH;ECHDC2",-0.0726659717307912,-0.028924637042655,-0.207847772208888,-0.0178918898743529,-0.0115316367623484,0.00924583734395867,0.0523966651858412,-0.16640227828056,0.0419297409373275,-0.119392654457878,-0.0410612539252783
"AUH;ECHS1",0.276109735206122,0.170280432898213,0.0837326768555889,0.0431770962671244,0.227766865503095,0.323572758333171,0.175879058532505,0.374317732194615,0.198496880304785,0.265874957087105,0.259325403810528
"ECHDC2;ECHS1",0.217328252934821,-0.0942734652354098,0.0657156188877074,0.00621257489687588,0.223878460689695,0.423393063629698,0.179246304699827,0.500745385435641,0.1653172116043,0.153398888323738,0.21223367793726
"ECHDC3;ECHS1",0.227939413787901,0.000753881766829445,0.0123438239032724,0.0949751734774815,0.241815863874436,0.23707801849462,-0.0740023094833819,0.412093085532094,0.150364119306511,0.190968179311627,0.275689178924716
"AURKA;AURKB",-0.710124681985919,-1.44092132907774,-0.420368443989881,-1.00996744938132,-0.920573017813659,-0.457487480639455,-1.27890941026465,-0.693414199362684,-0.935292520300217,-1.37931440007382,-0.733400294925724
"AURKA;AURKC",-0.390647180337426,-0.49174136482808,-0.205370144316018,-0.0741938379530913,-0.527003719887154,-0.154091325418899,-0.145984973871587,-0.186281462779169,-0.551103569077204,-0.39743816547965,-0.344178846787014
"AURKB;AURKC",-0.324102712278235,-0.596553858554797,0.113356786434902,-0.111390532151001,-0.000910999138712981,0.0972719537298973,-0.278950240143262,0.031076314542914,0.120072635440656,-0.307757748848041,-0.0397290969752219
"AURKB;PLK4",-0.589164526995521,-0.621814131205069,-0.448310341498473,-1.02978634007029,-0.196894316940497,-0.186656839178495,-0.880885461122207,-0.586237689419146,-0.0389050265130675,-0.528792566834798,-0.472208556146867
"AURKC;PLK4",-0.59976463555032,-0.363010796441032,-0.435988977321163,-0.870556228026696,-0.151461519432812,0.030015544424346,-0.530488472449969,-0.299789261417467,-0.177055077330701,-0.404672258506499,-0.371602658827347
"AWAT1;AWAT2",-0.00564096508596024,0.288679126766862,0.172917904558661,0.310190689862965,0.229473219092627,0.0565530116934353,0.330514090881791,0.0393295297653221,0.0706179979784577,0.139588440735615,0.425320375600188
"AWAT1;DGAT2",0.0199461571856492,0.252922807677434,0.0917550409052701,-0.0851728157027802,0.251676534624991,0.266784679118946,0.165386975691794,0.0490688712361712,0.0936974263826061,0.0433415515773619,0.168734505163083
"AWAT1;DGAT2L6",-0.00345798127460772,0.14077272740381,0.0935424445822675,0.0815463730042541,0.230432355626915,0.244247658502166,0.497127337427518,0.0285406815383817,0.048201778643802,-0.105801931134821,0.251557707269386
"AWAT1;MOGAT1",0.0569289020661687,0.207526455219344,0.32801067601344,0.375137970094278,0.156276160753106,-0.0240693597027049,-0.0570368457163524,0.0296788213696146,0.0528045004323916,0.0851878383377196,0.0814996131311233
"AWAT1;MOGAT2",0.141224660288904,0.317346142768028,0.202952785061459,0.202799586200014,0.537756221832943,0.044497531922233,-0.00853628720032562,0.348915779816631,0.0544058050533469,0.222461183268986,0.224142967413748
"AWAT1;MOGAT3",0.139974487245873,0.182996686159357,0.422470680540225,0.361041027386587,0.237762377145818,0.263044394447933,0.30926566716761,0.0504996283056675,-0.0232175851384641,0.236299662287072,0.302143170252267
"AWAT2;DGAT2",0.0121043099603149,0.283791282857482,0.110713397995633,-0.0248370867953428,0.341494499652715,0.121021114438602,0.311194023151519,0.0593366801749126,0.0362751663457683,0.0769286394696336,0.202081167865572
"AWAT2;DGAT2L6",0.21150227209435,0.371464148762697,0.142664287017116,0.238287924367218,0.269818929158956,0.110583088912536,0.30347008445664,0.101739859718415,0.14296890142187,0.0802461651926805,0.318204738811278
"AWAT2;MOGAT1",0.055603878795158,0.240410245308109,0.371122954136463,0.293780787573888,0.140147782728672,0.131341277274003,-0.114089004774567,0.0261807602805466,0.0869962075281492,-0.0893838024918541,0.00158639892572676
"AWAT2;MOGAT2",0.107489917675051,0.393994213837177,0.0850967014843498,0.0855830112431986,0.347425271769298,0.211890805241959,0.281211948945538,0.331233957413944,-0.0581543928638982,0.248334483077835,0.18561386171915
"AWAT2;MOGAT3",0.0374881875947741,0.0992364337577794,0.291691483405311,0.214239025926519,0.214496781280706,0.166550572406331,0.283716237960311,0.00389753661255487,0.0067315208667863,-0.0254582453658433,0.300043742738143
"DGAT2;DGAT2L6",-0.0201601578907072,0.650273957511427,0.119267565878942,0.0908416129560821,0.433753795340723,0.301961020649611,0.123956956847696,0.173088739038199,0.120143276483297,-0.132171862924384,0.312143022668294
"DGAT2;MOGAT1",-0.00906783100494338,0.0544445149772361,0.40353590292194,0.187359586411774,0.301769531371008,0.0677731835484978,0.138015888429899,0.218093021297044,0.198090204096819,-0.147298344939835,-0.00381766557574487
"DGAT2;MOGAT2",0.0153582174338193,0.384233459924706,0.226895653801751,-0.143545020469635,0.556081980112726,0.223663451050393,0.212405803880199,0.479009417498381,0.15697304757902,0.209040353028126,0.0638162436896129
"DGAT2;MOGAT3",0.0557776144115296,0.0539301544841054,0.326047104301374,0.144328169319722,0.30647216783984,0.183379106533507,0.290664857020479,0.127382828152913,0.0891340073024041,0.162826677882367,0.224197126896567
"DGAT2L6;MOGAT1",0.0276654860626974,0.204734203881461,0.353341378948389,0.141752684013618,0.166403827773395,0.186191495061792,0.123142318028971,0.130032429828805,0.211857248359959,-0.00925939696454958,0.178437540104374
"DGAT2L6;MOGAT2",0.0738066961996663,0.310105917735104,0.166035927360454,0.224694399683132,0.644068269751507,0.161849649461915,0.22254124785303,0.394575021818031,0.0829662182667379,0.0325053711170447,0.128519198096428
"DGAT2L6;MOGAT3",0.101540411477061,0.417173931771207,0.362853865045826,0.144417752296307,0.176139327779126,0.221612918895213,0.354504718635589,0.149786157867295,0.0609060038380379,0.183407696260081,0.341918491874165
"MOGAT1;MOGAT2",0.213582536540891,0.314868574131882,0.509104073593204,0.216354575897292,0.487697009782164,0.390649256343187,0.234201266977088,0.615063024241538,0.466869037528435,0.265976476712264,0.302025496163982
