"","HeLa_LTP"
"AADAC:AADACL2",-0.450079491888292
"AADACL3:AADACL4",-0.252246558874279
"ABCC1:ABCC3",0.345748214999499
"ABCC8:ABCC9",-0.159401960824084
"ABCD1:ABCD2",-0.339523820896368
"ABCG1:ABCG4",-0.185678391477254
"ABHD4:ABHD5",-0.0105713573525719
"ABI1:ABI2",0.0825091133768097
"ABL1:ABL2",-0.097305205817923
"ACACA:ACACB",0.0908013994993518
"ACSL3:ACSL4",0.145668292246675
"ACTA2:ACTG2",-0.225866705152856
"ACTL6A:ACTL6B",0.158549111060826
"ACTL7A:ACTL7B",-0.0911701357166909
"ACTRT1:ACTRT2",-0.056758928984912
"ACVR2A:ACVR2B",0.292447844709801
"ACVR1:ACVRL1",0.206406065170063
"ADAMTS16:ADAMTS18",-0.102225218847512
"ADAMTS10:ADAMTS6",-0.0357742027459951
"ADAP1:ADAP2",0.35721076080017
"ADARB1:ADARB2",-0.14020659948374
"ADCY5:ADCY6",-0.182895114508013
"ADIPOR1:ADIPOR2",0.126021147011911
"ADSS:ADSSL1",0.215029043911528
"AGPAT3:AGPAT4",-0.00942026637345295
"AGR2:AGR3",-0.204490953821445
"AIF1:AIF1L",0.286547487316545
"AK3:AK4",0.160438729767097
"AKIRIN1:AKIRIN2",0.253756316163335
"AKR7A2:AKR7A3",-0.0800975641349808
"ALAS1:ALAS2",-0.30385924403668
"ALDH1L1:ALDH1L2",-0.022499505976923
"ALG10:ALG10B",0.25106162417232
"ALG1L:ALG1L2",1.02723930109462
"ALOX12:ALOX15",-0.0423214158101657
"AMELX:AMELY",-0.544298998802663
"AMMECR1:AMMECR1L",-0.0519741073461832
"AMPD1:AMPD3",-0.0646822784900507
"ANGPT1:ANGPT2",-0.180403191590012
"ANGPTL1:ANGPTL2",-0.132236361369878
"ANKRD18A:ANKRD18B",0.165985594667853
"ANO1:ANO2",-0.100600435436459
"ANO3:ANO4",0.0196307245827123
"ANXA1:ANXA2",-0.0015006728198137
"AOC2:AOC3",-0.0147217107548777
"AP1G1:AP1G2",0.561865586879323
"AP1M1:AP1M2",0.101153666529808
"AP2A1:AP2A2",0.486163294553161
"AP1B1:AP2B1",0.992457151820669
"AP3B1:AP3B2",0.0368898746272558
"AP3M1:AP3M2",-0.0972269982161916
"AP3S1:AP3S2",0.198653694096161
"APH1A:APH1B",0.330056364362585
"AQP12A:AQP12B",-0.149670104993864
"ARFGAP2:ARFGAP3",0.0521016031075018
"ARFGEF1:ARFGEF2",0.855863381546957
"ARFIP1:ARFIP2",0.161943212423239
"ARG1:ARG2",-0.0261770130033414
"ARHGAP10:ARHGAP26",0.111255654952014
"ARHGAP35:ARHGAP5",-0.168143474815795
"ARHGEF6:ARHGEF7",-0.124761010824278
"ARID1A:ARID1B",0.15747714895213
"ARL8A:ARL8B",0.146086357584
"ARNT:ARNT2",-0.277554939251726
"ARPC1A:ARPC1B",0.541508230326017
"ARPC5:ARPC5L",0.108190321914254
"ASAP1:ASAP2",0.131194145733895
"ASB14:ASB15",0.00463613291018203
"ASF1A:ASF1B",1.82481316398131
"ASIC1:ASIC2",0.163511248873719
"ATF2:ATF7",0.0496305108132695
"ATG4A:ATG4B",-0.00663676105424155
"ATP13A4:ATP13A5",-0.219092553465225
"ATP2C1:ATP2C2",0.218562133568731
"ATP5L:ATP5L2",-0.0100512034320069
"ATP6V0D1:ATP6V0D2",-0.0138815929444888
"ATP6V1B1:ATP6V1B2",0.0582397141340865
"ATP6V1C1:ATP6V1C2",0.158455924823558
"ATP6V1E1:ATP6V1E2",-0.0234838385119336
"ATP8A1:ATP8A2",0.024284758998168
"ATP8B1:ATP8B4",-0.146624822658406
"ATP9A:ATP9B",0.0392769177079442
"ATRN:ATRNL1",-0.277198177559983
"ATXN3:ATXN3L",-0.195707571271238
"B4GALT1:B4GALT2",-0.105595951546239
"B4GALT5:B4GALT6",-0.113122007776607
"BARHL1:BARHL2",0.0210179264999558
"BCAT1:BCAT2",0.0465534389742414
"BCL11A:BCL11B",-0.267435093401124
"BECN1:BECN2",-0.0154948267787309
"BEST2:BEST4",-0.159322112298325
"BEX1:BEX2",-0.0584147078967041
"BHMT:BHMT2",0.0130305975375333
"BICD1:BICD2",0.249744494902254
"BIRC2:BIRC3",0.0434869845710432
"BMP2:BMP4",0.0225431472857761
"BMP8A:BMP8B",-0.137021880474271
"BOD1:BOD1L2",-0.132048206625655
"BRD2:BRD3",0.523769179657529
"BRSK1:BRSK2",-0.132055617681188
"ABTB2:BTBD11",0.145301835518591
"BTBD1:BTBD2",-0.297982876750638
"BTBD3:BTBD6",-0.0734644414080076
"BTF3:BTF3L4",0.937976378564601
"BTG1:BTG2",0.0816677991458628
"BTN2A1:BTN2A2",-0.140617478892733
"BTNL3:BTNL8",-0.377818578362661
