"","HeLa_LTP"
"AADAC:AADACL2",-0.450079491888292
"AADACL3:AADACL4",-0.252246558874279
"ABCC1:ABCC3",0.25901663103292
"ABCC8:ABCC9",-0.159401960824084
"ABCD1:ABCD2",-0.339523820896368
"ABCG1:ABCG4",-0.185678391477254
"ABHD4:ABHD5",-0.0105713573525719
"ABI1:ABI2",0.0825091133768097
"ABL1:ABL2",-0.606335653889323
"ACACA:ACACB",-0.541901113630172
"ACSL3:ACSL4",-1.59475441456769
"ACTA2:ACTG2",-0.225866705152856
"ACTL6A:ACTL6B",-0.846116365218965
"ACTL7A:ACTL7B",-0.0911701357166909
"ACTRT1:ACTRT2",-0.056758928984912
"ACVR2A:ACVR2B",0.154281612488699
"ACVR1:ACVRL1",0.142749578854989
"ADAMTS16:ADAMTS18",-0.102225218847512
"ADAMTS10:ADAMTS6",-0.0357742027459951
"ADAP1:ADAP2",0.161175138511598
"ADARB1:ADARB2",-0.14020659948374
"ADCY5:ADCY6",-0.660761233049397
"ADIPOR1:ADIPOR2",0.126021147011911
"ADSS:ADSSL1",-0.707034907562928
"AGPAT3:AGPAT4",-0.00942026637345295
"AGR2:AGR3",-0.204490953821445
"AIF1:AIF1L",0.238282779165844
"AK3:AK4",0.160438729767097
"AKIRIN1:AKIRIN2",-0.593587524626797
"AKR7A2:AKR7A3",-0.0800975641349807
"ALAS1:ALAS2",-0.30385924403668
"ALDH1L1:ALDH1L2",-0.022499505976923
"ALG10:ALG10B",-1.30343177412897
"ALG1L:ALG1L2",-1.03342673396248
"ALOX12:ALOX15",-0.0423214158101656
"AMELX:AMELY",-0.544298998802663
"AMMECR1:AMMECR1L",-0.259194362272997
"AMPD1:AMPD3",-0.0717419262792045
"ANGPT1:ANGPT2",-0.180403191590012
"ANGPTL1:ANGPTL2",-0.3949253934754
"ANKRD18A:ANKRD18B",0.0790502878290979
"ANO1:ANO2",-0.100600435436459
"ANO3:ANO4",0.0196307245827123
"ANXA1:ANXA2",-0.479054454144739
"AOC2:AOC3",-0.0793835881891178
"AP1G1:AP1G2",-0.0123140602776276
"AP1M1:AP1M2",-0.556501158630508
"AP2A1:AP2A2",0.486163294553161
"AP1B1:AP2B1",0.992457151820669
"AP3B1:AP3B2",0.0368898746272558
"AP3M1:AP3M2",-0.0972269982161916
"AP3S1:AP3S2",0.198653694096161
"APH1A:APH1B",-0.0590632930862551
"AQP12A:AQP12B",-0.149670104993864
"ARFGAP2:ARFGAP3",-0.332654114743629
"ARFGEF1:ARFGEF2",0.523945022567007
"ARFIP1:ARFIP2",0.161943212423239
"ARG1:ARG2",-0.0261770130033414
"ARHGAP10:ARHGAP26",0.041108476941701
"ARHGAP35:ARHGAP5",-0.168143474815795
"ARHGEF6:ARHGEF7",-0.124761010824278
"ARID1A:ARID1B",0.15747714895213
"ARL8A:ARL8B",-0.455001055746767
"ARNT:ARNT2",-0.277554939251726
"ARPC1A:ARPC1B",-0.0589463403799537
"ARPC5:ARPC5L",-0.246681791494521
"ASAP1:ASAP2",0.0774592821340563
"ASB14:ASB15",0.00463613291018206
"ASF1A:ASF1B",1.52513338894486
"ASIC1:ASIC2",-0.541615479956755
"ATF2:ATF7",-0.632982748537744
"ATG4A:ATG4B",-0.00663676105424156
"ATP13A4:ATP13A5",-0.219092553465225
"ATP2C1:ATP2C2",-1.60257878306418
"ATP5L:ATP5L2",-0.651424911229673
"ATP6V0D1:ATP6V0D2",-1.6283107289835
"ATP6V1B1:ATP6V1B2",-1.71552621533185
"ATP6V1C1:ATP6V1C2",-0.886219007853996
"ATP6V1E1:ATP6V1E2",-1.7143807256908
"ATP8A1:ATP8A2",0.024284758998168
"ATP8B1:ATP8B4",-0.146624822658406
"ATP9A:ATP9B",0.000171252442080522
"ATRN:ATRNL1",-0.277198177559983
"ATXN3:ATXN3L",-0.195707571271238
"B4GALT1:B4GALT2",-0.105595951546239
"B4GALT5:B4GALT6",-0.113122007776607
"BARHL1:BARHL2",0.0210179264999558
"BCAT1:BCAT2",0.0465534389742414
"BCL11A:BCL11B",-0.267435093401124
"BECN1:BECN2",-0.477691885971002
"BEST2:BEST4",-0.159322112298325
"BEX1:BEX2",-0.0584147078967041
"BHMT:BHMT2",0.0130305975375333
"BICD1:BICD2",0.120760341312455
"BIRC2:BIRC3",0.0434869845710432
"BMP2:BMP4",0.0225431472857761
"BMP8A:BMP8B",-0.137021880474271
"BOD1:BOD1L2",-0.132048206625655
"BRD2:BRD3",0.523769179657529
"BRSK1:BRSK2",-0.132055617681188
"ABTB2:BTBD11",0.145301835518591
"BTBD1:BTBD2",-0.297982876750638
"BTBD3:BTBD6",-0.0734644414080076
"BTF3:BTF3L4",-0.847092734286353
"BTG1:BTG2",-0.0102448932484064
"BTN2A1:BTN2A2",-0.140617478892733
