"","PC9_LTP"
"AADAC:AADACL2",-0.00733896754135266
"AADACL3:AADACL4",0.022368146794197
"ABCC1:ABCC3",0.0693192711261325
"ABCC8:ABCC9",-0.123466346389114
"ABCD1:ABCD2",-0.0248891279695845
"ABCG1:ABCG4",-0.0831762486871055
"ABHD4:ABHD5",0.0586257204319014
"ABI1:ABI2",0.0972767645366628
"ABL1:ABL2",-0.14713566925784
"ACACA:ACACB",0.0140124894229782
"ACSL3:ACSL4",0.395464251534366
"ACTA2:ACTG2",-0.0866264191927062
"ACTL6A:ACTL6B",-0.157087434774916
"ACTL7A:ACTL7B",-0.147875112103024
"ACTRT1:ACTRT2",-0.0167662738785654
"ACVR2A:ACVR2B",0.0283781507915529
"ACVR1:ACVRL1",0.0354882929130883
"ADAMTS16:ADAMTS18",-0.204008663942354
"ADAMTS10:ADAMTS6",-0.00375990278397445
"ADAP1:ADAP2",0.0655792882350615
"ADARB1:ADARB2",-0.0290012627348597
"ADCY5:ADCY6",-0.0234014945492015
"ADIPOR1:ADIPOR2",-0.0225033727164565
"ADSS:ADSSL1",0.0244508287218949
"AGPAT3:AGPAT4",0.0195931497253312
"AGR2:AGR3",-0.0451974066576707
"AIF1:AIF1L",-0.0743682171355433
"AK3:AK4",-0.0899577476308818
"AKIRIN1:AKIRIN2",0.409259366806214
"AKR7A2:AKR7A3",0.038578064646642
"ALAS1:ALAS2",-0.043149730484818
"ALDH1L1:ALDH1L2",0.0127630900030011
"ALG10:ALG10B",0.16111587662729
"ALG1L:ALG1L2",0.1254201395953
"ALOX12:ALOX15",-0.0488720943872658
"AMELX:AMELY",-0.135475024605025
"AMMECR1:AMMECR1L",0.0278836769962895
"AMPD1:AMPD3",0.234523316453317
"ANGPT1:ANGPT2",-0.238082705426731
"ANGPTL1:ANGPTL2",-0.14383026820203
"ANKRD18A:ANKRD18B",-0.0103009393014316
"ANO1:ANO2",-0.0485144430252122
"ANO3:ANO4",-0.0182316446681258
"ANXA1:ANXA2",-0.0150329870507165
"AOC2:AOC3",0.0476696161169536
"AP1G1:AP1G2",0.221617473874033
"AP1M1:AP1M2",0.137660627944862
"AP2A1:AP2A2",0.338931013861774
"AP1B1:AP2B1",0.34150213958431
"AP3B1:AP3B2",0.0280487979423661
"AP3M1:AP3M2",0.255572989596092
"AP3S1:AP3S2",-0.0225634739421494
"APH1A:APH1B",0.049977673551423
"AQP12A:AQP12B",-0.0427969936756192
"ARFGAP2:ARFGAP3",-0.00449468844394357
"ARFGEF1:ARFGEF2",0.431312410330196
"ARFIP1:ARFIP2",0.00251526876145549
"ARG1:ARG2",-0.00653497434427924
"ARHGAP10:ARHGAP26",-0.112891389305074
"ARHGAP35:ARHGAP5",-0.0397757521487676
"ARHGEF6:ARHGEF7",-0.101317691709527
"ARID1A:ARID1B",0.0712382918971675
"ARL8A:ARL8B",0.106218194793286
"ARNT:ARNT2",0.0106874398419194
"ARPC1A:ARPC1B",0.100099027340233
"ARPC5:ARPC5L",0.0754340758912546
"ASAP1:ASAP2",-0.00921873006749767
"ASB14:ASB15",-0.124462517212348
"ASF1A:ASF1B",0.17669148474865
"ASIC1:ASIC2",0.0957221193936783
"ATF2:ATF7",0.223275057878014
"ATG4A:ATG4B",-0.0340616540120968
"ATP13A4:ATP13A5",-0.0657174859793584
"ATP2C1:ATP2C2",0.0913066643370198
"ATP5L:ATP5L2",0.028573729908716
"ATP6V0D1:ATP6V0D2",-0.117757916767422
"ATP6V1B1:ATP6V1B2",-0.0403365677725458
"ATP6V1C1:ATP6V1C2",0.154921175373245
"ATP6V1E1:ATP6V1E2",-0.0308529526823002
"ATP8A1:ATP8A2",-0.0091657718332255
"ATP8B1:ATP8B4",-0.0223073617276923
"ATP9A:ATP9B",-0.0462980295813095
"ATRN:ATRNL1",-0.0178568074134748
"ATXN3:ATXN3L",-0.102673477524677
"B4GALT1:B4GALT2",0.0946222681225215
"B4GALT5:B4GALT6",-0.0711835649298353
"BARHL1:BARHL2",-0.105722467630448
"BCAT1:BCAT2",0.0158167689181419
"BCL11A:BCL11B",-0.158031920294981
"BECN1:BECN2",0.00498301145915674
"BEST2:BEST4",0.118226115778505
"BEX1:BEX2",-0.0717458749438877
