"","PC9_LTP"
"AADAC:AADACL2",-0.00733896754135266
"AADACL3:AADACL4",0.022368146794197
"ABCC1:ABCC3",0.0411266948439212
"ABCC8:ABCC9",-0.123466346389114
"ABCD1:ABCD2",-0.0248891279695845
"ABCG1:ABCG4",-0.0370253846257896
"ABHD4:ABHD5",0.0586257204319014
"ABI1:ABI2",-0.00645760176669798
"ABL1:ABL2",-0.14713566925784
"ACACA:ACACB",-0.406030644620779
"ACSL3:ACSL4",-0.0755063963870361
"ACTA2:ACTG2",-0.0256121297337568
"ACTL6A:ACTL6B",-0.628414586663528
"ACTL7A:ACTL7B",-0.147875112103024
"ACTRT1:ACTRT2",-0.0167662738785654
"ACVR2A:ACVR2B",0.0283781507915529
"ACVR1:ACVRL1",0.0354882929130883
"ADAMTS16:ADAMTS18",-0.178915951608374
"ADAMTS10:ADAMTS6",-0.0662873440810176
"ADAP1:ADAP2",-0.0268659847303443
"ADARB1:ADARB2",-0.0290012627348597
"ADCY5:ADCY6",-0.155067716151159
"ADIPOR1:ADIPOR2",-0.0225033727164565
"ADSS:ADSSL1",-0.453630843083799
"AGPAT3:AGPAT4",0.0195931497253312
"AGR2:AGR3",-0.0424324551952963
"AIF1:AIF1L",-0.0743682171355433
"AK3:AK4",-0.0899577476308818
"AKIRIN1:AKIRIN2",-0.399014260120994
"AKR7A2:AKR7A3",0.0244528976692829
"ALAS1:ALAS2",-0.419668982702542
"ALDH1L1:ALDH1L2",0.0127630900030011
"ALG10:ALG10B",-0.259823898033678
"ALG1L:ALG1L2",-0.684796663422333
"ALOX12:ALOX15",-0.0488720943872658
"AMELX:AMELY",-0.111710522489051
"AMMECR1:AMMECR1L",-0.233599511773974
"AMPD1:AMPD3",0.131230000262424
"ANGPT1:ANGPT2",-0.222385225288204
"ANGPTL1:ANGPTL2",-0.14383026820203
"ANKRD18A:ANKRD18B",-0.0103009393014316
"ANO1:ANO2",-0.0485144430252122
"ANO3:ANO4",-0.0182316446681258
"ANXA1:ANXA2",-0.0150329870507165
"AOC2:AOC3",0.0476696161169536
"AP1G1:AP1G2",0.167295467520239
"AP1M1:AP1M2",0.137660627944862
"AP2A1:AP2A2",0.16090687833949
"AP1B1:AP2B1",0.299159027114917
"AP3B1:AP3B2",0.0257219789582386
"AP3M1:AP3M2",0.101737020702737
"AP3S1:AP3S2",-0.0225634739421494
"APH1A:APH1B",-0.12979532401406
"AQP12A:AQP12B",-0.0427969936756192
"ARFGAP2:ARFGAP3",-0.00449468844394357
"ARFGEF1:ARFGEF2",0.344463069471327
"ARFIP1:ARFIP2",0.00251526876145549
"ARG1:ARG2",-0.00653497434427923
"ARHGAP10:ARHGAP26",-0.112891389305074
"ARHGAP35:ARHGAP5",-0.0485567817703282
"ARHGEF6:ARHGEF7",0.0102255733268421
"ARID1A:ARID1B",0.0712382918971675
"ARL8A:ARL8B",0.106218194793286
"ARNT:ARNT2",-0.210434577383787
"ARPC1A:ARPC1B",0.100099027340233
"ARPC5:ARPC5L",0.0754340758912546
"ASAP1:ASAP2",-0.00921873006749767
"ASB14:ASB15",-0.124462517212348
"ASF1A:ASF1B",0.112362843384756
"ASIC1:ASIC2",0.0325982050914551
"ATF2:ATF7",-0.0328642154064576
"ATG4A:ATG4B",-0.0340616540120968
"ATP13A4:ATP13A5",-0.028359607481489
"ATP2C1:ATP2C2",0.0863409239125909
"ATP5L:ATP5L2",0.0285737299087159
"ATP6V0D1:ATP6V0D2",-1.34164067761916
"ATP6V1B1:ATP6V1B2",-1.06312050482055
"ATP6V1C1:ATP6V1C2",-0.515504723090998
"ATP6V1E1:ATP6V1E2",-0.856602459408956
"ATP8A1:ATP8A2",-0.0091657718332255
"ATP8B1:ATP8B4",-0.0223073617276923
"ATP9A:ATP9B",-0.0462980295813095
"ATRN:ATRNL1",-0.0178568074134748
"ATXN3:ATXN3L",-0.0300715241527616
"B4GALT1:B4GALT2",0.0677169852987391
"B4GALT5:B4GALT6",-0.0306712244960558
"BARHL1:BARHL2",-0.105722467630448
"BCAT1:BCAT2",-0.313128701897751
"BCL11A:BCL11B",-0.158031920294981
"BECN1:BECN2",-0.25462455880482
"BEST2:BEST4",0.0753136333899505
"BEX1:BEX2",-0.0717458749438877
