"","A375_D14","MEWO_D14","RPE_D14","A375_D28","MEWO_D28","RPE_D28"
"AARS:AARS2",0.146673001578392,-0.085673444855942,0.0721481505824229,0.989364714700412,0.362569291088282,1.0989135837596
"ABCB6:ABCB7",0.297803355490815,0.0113550234055392,0.313544634019576,0.350320152530938,0.175629615677466,0.803043851312034
"ABCF1:ABCF3",-0.0726969679541056,-0.122755811389064,-0.0700702904242227,-0.00470984999406787,-0.0827739058364194,0.165722370994035
"ABHD12:ABHD12B",0.124332469829242,-0.0479800638710237,0.791687363616432,0.0386284742178282,0.0156850358886779,0.812993071916256
"ABL1:EGFR",-0.0065190471440002,0.0562260077620619,0.307076945440914,-0.0965690370568403,0.0789317772641817,0.601025545763965
"ABL1:ABL2",0.296024566470573,0.0794323857912768,0.147321787131164,0.32154114005234,-0.0415542788292206,-0.161233268219588
"ABTB2:BTBD11",0.164934123998615,-0.136233860422117,0.573789623568138,0.0340479797387547,-0.135808102503585,0.47522292020924
"AC007040.11:TEX261",0.420419781218338,-0.00577316313901063,0.514344208060275,0.37555464322379,-0.0223166023197248,0.476010828654154
"ACACA:ACACB",0.369437967440028,0.034022656760379,0.72639844995019,0.415719758394443,0.136060305539357,0.75048192507997
"ACE:CTD-2501B8.1",0.317443469009619,0.416082801370641,0.753527929674278,0.183849520778296,0.448131783127197,0.758304648616649
"ACSF2:ACSF3",0.576996479731214,0.284952434163367,1.00627475512452,0.607658976636035,0.207821176774499,0.935795563936874
"ACSL3:ACSL4",0.245167021702208,0.0197658185335859,0.675798430952772,0.383162357074331,-0.293473327813416,0.949908981228038
"ADAM10:ADAM17",0.0270244869962718,-0.027489092242058,0.21537353858682,0.0306957093961323,0.00294294217184268,0.163375749644304
"ADAMTSL1:ADAMTSL3",0.283597430665597,-0.0674330283327352,0.492213663301364,0.306658595215432,-0.0510638004060066,0.729826172543371
"ADAP1:ADAP2",0.480305198650059,-0.0612878496507314,0.975848280872256,0.418888494972272,-0.0249453329305184,0.827988944947242
"ADIPOR1:ADIPOR2",0.263827423747308,0.0478266202779687,0.287488124677896,0.384020480806534,0.201814983789311,0.632617601169381
"ADSS:ADSSL1",0.0928502533909668,-0.0449124109003185,0.531234774222511,0.286266495742531,0.0477008875682859,0.679779690057543
"AFG3L2:SPG7",0.210654010167715,0.0200040298630731,0.774580013326011,0.622404851387612,0.17927167805059,1.25809921365712
"AGFG1:AGFG2",0.178687176926191,-0.0564552439415012,0.559451875979292,0.0441939223056211,-0.113558296504459,0.56798809236052
"AHR:AHRR",0.418452564099147,0.0638423401687095,-0.433034409154912,0.695219910756252,0.145314666270891,-1.72605522252533
"AK2:AK8",0.218472094634883,-0.0377724838750747,0.431668907696512,0.287663411352465,0.032487983720181,0.0584128629392847
"AK3:AK4",0.314897659183391,0.0346195058610615,0.403455749404739,0.352665027070285,-0.0257053879104146,0.749382813005057
"AKT2:EGFR",-0.0425593245967061,0.033940800304831,0.365242613126677,-0.141641112056845,0.198584003574132,0.47528776703863
"ALAS1:ALAS2",0.286842283031833,0.0143999414980806,0.937251575806899,0.450039279620599,0.0869384296763935,1.03159699017613
"ALK:LTK",0.273864351392329,-0.162619704995694,0.278483403558608,0.0956507112884345,-0.307480021752605,0.205710001289996
"ALKBH4:ATR",1.52400217265496,-0.0458980862176993,1.33942675999095,1.99541797519978,0.254778327986443,1.9102475429043
"ANKRD11:ANKRD12",0.0943033780017208,-0.170999010670279,0.442196028413127,0.112984723804024,-0.0494747406693199,0.673087741013005
"ANKRD55:INVS",0.127476821318355,0.165162426470926,0.403966797042001,0.0316538128976828,0.22457785669627,0.250771043678188
"ANKS4B:USH1G",-0.0490854709315361,0.0901406048927448,0.397875528262909,-0.106138060995184,0.0787088232835892,0.62322379005855
"ANKS6:KIDINS220",0.205838986897348,-0.217204807191719,0.286376926076399,0.509645707598106,-0.133096886861437,0.178658652251956
"AP000304.12:ATP5O",0.600051356451733,0.513911545460286,0.577387486417315,1.75916511606853,1.22026138503836,0.863140191693063
"AP2A1:AP2A2",0.631533889197343,-0.0168270723708678,0.665286130024285,1.14174712376269,0.242948977737081,1.0020123825227
"APC:APC2",-0.04360920084299,-0.059756734380177,0.189314028000217,0.0618450440289836,-0.0588834948780598,0.580896140053976
"APH1A:APH1B",0.305551771948193,0.183590302052143,0.54236871044781,0.478928590076438,0.216226436839054,0.83327222846965
"ARFGEF1:ARFGEF2",0.235076416713935,0.0786730946157187,0.894375695379806,0.213994916866064,0.264324700124018,1.17558586144607
"ARFIP1:ARFIP2",0.136071076414853,0.0392531921199415,0.406491682266232,0.151680962877053,0.0300800777342499,0.667328067528424
"ARHGAP35:ARHGAP5",-0.0736396015562124,-0.0388718925361184,-0.710375448387626,-0.191450444197713,-0.223721894541715,-2.20590066921325
"ARHGEF11:ARHGEF12",0.275797538765081,-0.0100171728185952,0.893566319291432,0.353627532975215,0.0175949942767161,1.11860649732382
"ARHGEF2:TP53",-0.53230356899098,-0.000912450861674907,-2.36708933969069,-0.688458502862545,0.0167858886605076,-5.26653424261166
"ARHGEF3:NET1",0.035352575353484,0.0269742627465125,0.380472395009806,0.0449403098424175,0.132936709159361,0.475523559872001
"ARHGEF6:ARHGEF7",-0.143265141005711,0.12944490050795,0.0593455105605687,-0.0919399934846013,0.0615367510272944,0.0094313669630598
"ARID1A:ARID1B",0.461148833449895,0.0367877990988325,0.599962433363976,0.846939293704581,0.323525402779247,0.710770441775076
"ARID4A:ARID4B",0.371009267656885,0.000210841929319305,0.442141367241221,0.523507090717045,-0.157792296739341,0.268375421330256
"ARL6IP5:ASPM",0.580238029023791,0.13096155162743,0.230192320203575,0.868932135296459,0.301427273667354,0.435975651981344
"ARL6IP5:PRAF2",0.258549882804939,0.0827682693188986,0.616638105118728,0.249724687038306,0.161947249870942,0.591955825424776
"ARPC1A:ARPC1B",0.722498817794237,-0.127992189033254,1.08950327620565,0.867830013691022,-0.0424684794593314,1.23712143791904
"ADAMTS20:ARPC1B",0.452293989507676,-0.160907529809864,0.480441637477755,0.316215260133527,-0.241089936852889,0.491067719176376
"ARPC5:ARPC5L",0.676944294796828,0.135166090996712,1.23511525112345,0.736958465619565,0.457902072711452,1.29642901467777
"ARRDC2:IQGAP3",0.668932788139302,0.0885019100275052,0.935877827687284,0.516387230375507,0.229015546208094,1.03657782469004
"ASAH2:ASAH2B",-0.0595860572973957,0.0651549888817004,0.293961575288386,0.00193849262820256,0.100279844023279,0.478276333152621
"ASF1A:ASF1B",0.795688418466091,0.701555064883241,0.995134320406464,1.49088393306907,1.02346080356633,1.19628869976611
"AMOTL2:ASPM",0.189927528374875,0.133101370589333,-1.08919844239494,0.398927609422815,0.172649275560932,-3.11432402708087
"ARHGEF10:ASPM",0.018632882722361,-0.0498270671683118,0.325895967444512,0.196293972028646,0.105836308295122,0.405429295602146
"ARPC1B:ASPM",0.422527599278106,-0.0564747004232325,0.438968670967747,0.457079256204788,-0.0619004303969498,0.335531356792295
"ASXL1:ASXL3",0.000852648884193563,-0.0217903952610791,0.309837345342079,-0.00518694519253882,0.0411003258972791,0.571206615006707
"ATAD2:ATAD2B",0.270681324929533,0.00917117275467441,0.3428052653689,0.223918700321741,0.126192113083623,-0.139965133069069
"ATF7IP:ATF7IP2",0.0822003495556521,0.134449469336609,0.270038066739305,0.52277686643204,0.363172932710751,0.104328911685684
"ATG2A:ATG2B",0.215062987821119,-0.112206196725513,0.504704298294635,0.236731022929115,-0.0723762143099555,0.447365417444185
"ATM:PARP1",0.1722410707784,-0.0373513659418823,0.712487298753793,0.747521431271171,0.229104298769748,0.979190402538494
"ATP6V1B1:ATP6V1B2",2.29875062888596,1.04545861401526,1.72768890977886,2.35049141337202,1.78857150655874,1.69528908917952
"ATP6V1C1:ATP6V1C2",1.14873064924771,0.262099387845967,0.757661928804353,0.918674502670665,0.423660556424816,0.586143291198007
"ATP6V1E1:ATP6V1E2",0.293215697075452,-0.012553193385855,0.132667957946649,0.469234056545167,0.0301744712688037,0.41277074978709
"ATP7A:ATP7B",0.0133589566108711,-0.0279183830052405,0.351687148004204,-0.0287738285606446,-0.115589687278732,0.221809295788828
"ATR:KRAS",0.328893047456575,0.362533100768665,1.00738214216705,0.707451873038913,0.568030765099407,1.37765841111392
"ATR:MYC",0.663000141294535,0.444626398206232,0.549725322580314,0.553638531799914,0.723545024098159,0.601724900310711
"ATR:TP53",0.063636366240008,0.28657163228332,-2.11508400408198,0.322774049812816,0.509754744684051,-4.3931896157788
"ATXN2:ATXN2L",0.565552954220389,-0.0626490162176261,0.769117303687595,0.558282125787234,-0.0274348105175604,0.651046456025922
"AURKA:EGFR",-0.383200861030606,0.245973915855592,0.0340295959711213,-0.460433235086015,0.151890212860704,0.128342912171381
"AURKB:MYC",1.05014133861873,0.418857497895468,0.710992789391831,0.92574244303138,1.02398489234214,0.641757744967388
"AXIN1:AXIN2",0.351893821479769,0.0865516919285563,0.430457262415794,0.419117644677048,0.0678498487249176,0.392803605516792
"B3GALNT2:B3GALT6",0.343339613658546,-0.136241888613819,0.321423194183623,0.357925278909019,-0.136266767019534,0.567182970835176
"B9D2:CENPF",0.359835899090421,-0.169277804533324,0.675478026322158,0.160939719597962,-0.225835013616137,0.649041643608858
"BACH1:BACH2",-0.0243052423508396,-0.0238101097924249,0.2219179983598,-0.10025859782772,0.103071228713352,0.193692645069462
"BAG3:BAG4",0.362720953988176,0.157994308583603,1.06422649181434,0.47168905807177,0.311870769221375,1.28472351942762
"BANF1:BANF2",-0.224933826440504,-0.129767959234647,0.281956080051151,-0.122650679508055,-0.0893965802919931,0.454493410124279
"BANK1:PIK3AP1",-0.0714368489557529,-0.130248542770712,0.481081535436182,-0.0697454526449215,-0.240319055861384,0.463980315471135
"BAZ2A:BAZ2B",0.428176707280206,0.124110928880152,0.804983151031095,0.42627161700526,0.209002320819686,0.653045051789568
"BCAR1:EGFR",0.206650030247868,-0.0742653052773781,0.54309284576503,0.462530044598509,-0.0518857734803531,1.06002524809371
"BCL11A:BCL11B",0.203625487707818,-0.08543249896962,0.510461902444138,0.270369055406749,-0.00182945975115245,0.464613210727754
"BET1:BET1L",0.059128154213834,0.0440298728368036,0.250916374180511,0.333184505993155,0.340158594567207,0.44288701031711
"BICD1:BICD2",0.174457182979517,-0.033559460379201,0.708524163144424,0.038037920926012,-0.0285742334661924,0.611704027414919
"BIVM-ERCC5:ERCC5",0.0543281906243343,-0.120617195332638,0.281289508911178,0.0377851272209108,-0.0444613430405624,-0.1635325000501
"BMP3:GDF10",0.084193936176867,0.00726841512269712,0.501384008102887,0.0684852744596028,0.0368785248633631,0.300562044634946
"BMPER:KCP",0.242988179708769,-0.130020253010135,0.952989519062507,0.178331563826567,-0.0695324984683361,0.982771670385471
"BRCA1:PARP1",0.18600096262079,0.0229996687900828,0.634367681170438,1.01831366523389,0.373383726130753,1.47592669773619
"BRCA1:PARP2",0.0193913685992967,0.0462583477107824,0.430961461682265,0.347979031788966,0.22866774945424,0.604022600951891
"BRCA1:TP53",-0.580529640566143,0.0342728572277919,-2.43354995785793,-0.373004924518866,0.153837685814637,-5.00682704004422
"BRCA2:PARP1",0.365460055873856,-0.0365443405304837,0.647458393682965,1.18388879890458,0.39986118471426,1.49315096417945
"BRCA2:PARP2",0.0908749643454339,-0.040969042482717,0.312529805208918,0.391575391865637,0.148838101363926,0.671857453173935
"BRD7:BRD9",0.122512522946214,0.0177009851620591,0.245672102482493,0.225244890197604,-0.0805059560035891,0.151650563232181
"ARPC1B:BRIP1",0.328690126418158,-0.0117537810515218,0.565287709597441,0.281142052256503,0.125719574822105,0.611628106871149
"BRMS1:BRMS1L",0.299468921807576,0.035227137155445,0.364378283945743,0.352736699764498,0.247057111009138,0.358295773285139
"BTG3:BTG4",-0.0622713929961499,0.236645356862059,0.430168330946271,-0.127167492325402,0.22573101907414,0.186131110621916
"BZW1:BZW2",0.112071297316241,0.0839628310007848,0.126376580387583,0.125369443779122,-0.00878744178827362,0.196436766238586
"CAB39:CAB39L",0.0487847461679003,0.0182912006237855,-0.0142567571522056,0.0330613885388097,0.26021540883926,-0.902342415616176
"CAD:CPS1",0.106135189038114,-0.042286584793577,0.346649617985267,0.0508200497640353,0.0176173337271876,0.648541128428225
"CADPS:CADPS2",-0.00640867403783307,0.00272133903958721,0.144991551123483,-0.136529528340756,-0.034936080093021,0.198363881573577
"CALM1:EGFR",0.0042771171880297,-0.00250144552937315,0.446633926960495,-0.0163407343849464,0.191926501007134,0.644994470338138
"CAMTA1:CAMTA2",0.333343933054934,-0.0271231219407705,0.565922696362257,0.379808755487551,0.0502193657923135,0.361266095957456
"CAND1:CAND2",-0.0078911587434321,-0.0349969140812753,-0.632856614734134,0.325674813048036,0.220786835225856,-1.0035016976836
"CAP1:CAP2",0.15251828358003,-0.116964866197161,0.562713690362779,0.00590689725055066,-0.116276980227348,0.508763494465667
"CAPRIN1:CAPRIN2",-0.0448437208650443,0.109388631240712,0.108627310819121,-0.139968598507637,0.0479944478641756,0.140375673293725
"CARS:CARS2",0.71536496795849,0.133403179311863,0.807511318313644,1.11476051858993,0.615418197755341,1.38245571671108
"ASPM:CASKIN1",0.312380883376621,0.0462030383180163,0.221077467128736,0.539849590584427,0.224394983722112,0.186512784822182
"CASKIN1:CASKIN2",0.431896901698686,0.234670773488957,0.953388765337382,0.514151789061438,0.44391041660299,0.904669896128885
"CBX7:PRDM9",0.0201551713165602,-0.0642635085886087,0.262652524060328,0.087411068393713,-0.00738087085386091,0.194017574477572
"CC2D1A:CC2D1B",0.547271346603439,0.171254373069582,0.473712017812319,0.580989034784067,0.489886280419969,0.463302384213796
"CCDC85A:CCDC85C",0.298601530963767,0.120824118259021,0.762471461051622,0.27618357329306,0.151323690004471,0.304283869001556
"CCDC130:CCDC94",0.0579260918724358,0.416398256361676,0.05188170756947,0.171521991559748,0.802348374683432,0.146929316036702
"BIRC6:CCNA2",-0.178863711872729,0.159458534604032,0.0363992331004459,-0.142675832804589,0.117455117716737,-0.255526437922681
"BLVRA:CCNA2",-0.410206458945967,-0.0554834230250552,-0.0617083901804852,-0.371389223930363,-0.164995003273756,-0.0285092767694255
"CACNA1S:CCNB1",0.48760943923732,0.0839647298266143,0.336356545289006,0.773369201609037,0.198791305774168,0.340835481995489
"ASPM:CCND1",0.301506041438122,0.28603657697046,0.0910081497172641,-0.0359419855188572,0.249082698871172,-0.390199629082168
"CCNE1:CCNE2",0.0391322992100406,0.174806417718463,0.181426411116798,0.111004081468418,0.2392233774034,0.228580556618974
"CCNI:CCNI2",0.28731046081633,0.000743117666289025,1.01072335255844,0.203671589765875,0.107084222364775,1.49847950353416
"CCNL1:CCNL2",0.418996204342622,0.24816397511299,0.423168491091749,0.697734729839773,0.50015129359307,0.618859715048964
"CCNT1:CCNT2",0.630099279606069,0.305028778452305,0.679577623851342,1.02739817819405,0.372700246096787,0.806955538522935
"CCT6A:CCT6B",0.143275894426249,-0.00473899398475973,-0.0340400466016151,0.386115564268069,0.0256079736784273,0.471588938773211
"CD2AP:SH3KBP1",-0.0789215498716519,-0.0449906406366801,0.180749918095906,-0.157238343358886,-0.013340137908082,0.321473645290723
"CD59:EGFR",0.00890097780665644,0.00518003435143805,0.469951471551136,-0.0178419042730965,0.152213902399342,0.72308508079132
"CDC14A:CDC14B",0.0341121371927903,-0.135561905316029,0.130737128997079,-0.0660945386730419,-0.26256058610335,0.0117524423162237
"CDC16:KRAS",0.253708107786907,0.332374644540386,1.06813308490081,0.301211846858437,0.363425492440705,1.43302158675197
"AMOTL2:CDC25C",0.0849064296808126,0.0527259314719342,-1.16824327712996,0.147539858550794,0.10208074855755,-3.47209539124384
"ARPC1B:CDC25C",0.351108189575959,-0.0378800806087541,0.378425770930412,0.248227746433978,-0.105598593613481,0.419343233703738
"CDC37:CDC37L1",0.482969360790149,0.0696018418708365,0.445626693897451,0.745312341620174,0.655755859742777,0.482573681822416
"CDC25C:CDC42EP3",0.430157677091554,-0.149806960174526,0.72454647800489,0.430435988386449,-0.00124390211063696,0.598634509841881
"CDC6:KRAS",0.219431782464566,0.290122191154438,1.249980929176,0.359071225755489,0.402862928988775,1.62762308641509
"CDK1:MYC",0.614909290462398,0.326827077689753,0.533589453361422,0.491358848313041,0.526302420958606,0.416869147704257
"CDK12:CDK13",1.2682116734778,0.589578572332724,0.741586256316072,1.6983045666758,1.0936153832318,0.817204150350221
"CDC25C:CDK14",0.191344312929281,-0.0512149632874742,0.564317740334684,0.0552512758119329,-0.031426644273029,0.345827070247298
"CDK19:CDK8",-0.200143568656634,-0.00224753354146491,-0.163201774923725,0.0466963816237554,-0.0529399841260882,-0.134848919228002
"CDK2:MYC",0.611657846194958,0.356967655020032,0.625595634325277,0.380027005574248,0.520598069557366,0.498292119277591
"CDK4:KRAS",0.271034960128781,0.16772919761105,1.29462287109648,0.264421824930678,0.367178481730921,1.19318629227861
"CDK5R1:CDK5R2",0.565778112352145,0.0834236680660592,0.690728235904641,0.540417328251719,0.168694808419426,0.724577306647256
"CDS1:CDS2",0.902647190901364,0.056619038899089,1.19535888177295,1.25146465852557,0.301643170588813,1.00051710043779
"ARPC1B:CDT1",0.396770825277256,0.19715314988487,0.391197803509242,0.500955942994034,0.506664544609013,0.547822572057805
"ARPC1B:CENPE",-0.280220703564666,-0.0708083206766719,-0.386092082243581,-0.297743531422443,-0.192052806941426,-0.631708489585375
"ARPC1B:CENPQ",0.280386416553156,0.0268169277953101,0.362936994105364,0.183062674396137,0.0607893342591191,0.50628360291353
"CERK:CERKL",-0.0329955632125202,-0.0098204821340527,0.202114499896512,-0.102260157955156,-0.0562982494980352,0.0865582942726075
"CHEK1:TP53",0.0738688121631448,0.507894691856539,-2.17676538431963,-0.00784275082861297,0.679760852806358,-4.2661611554082
"CHEK2:TP53",-0.223623264584029,0.0580559612468563,-1.95249980744913,-0.27030739346208,0.097297338409269,-4.62218465208844
"CHM:CHML",0.416262538302752,0.209928178811649,0.76549176769635,0.552184380554989,0.282850959369989,0.878903558053978
"CHMP1A:CHMP1B",0.479512855130918,0.196194682284827,0.716892666231357,0.827111892080867,0.478803455536676,0.797478375580973
"CHMP2A:CHMP2B",0.124097574553068,0.123008801152674,0.26620730295985,0.159624150646401,0.130563831315623,0.183833384719841
"CHMP3:RNF103-CHMP3",0.230139680086925,0.133254429996075,0.281162089692867,0.576697459630856,0.312235420605136,0.442863744398023
"CHORDC1:ITGB1BP2",0.279225307136302,-0.0785497211500379,0.448402375333745,0.598738590114545,0.480549269375775,0.567277457158496
"CHSY1:CHSY3",0.215448023373352,-0.0964150494191354,0.676499009439349,0.184478045413992,-0.127308343010924,0.563841917804435
"CLASP1:CLASP2",0.628168744131092,0.154586601781195,0.612822441059655,1.10218573599778,0.336944972379128,0.785445756803219
"CLPTM1:CLPTM1L",-0.0750635172053256,-0.208108837685735,0.118901841286213,-0.0419407990219866,-0.307109763717655,-0.0387243766206744
"CLTC:CLTCL1",0.139416321277894,-0.141260903681441,0.22437394037532,0.275441555013427,0.100153940856389,0.0649146064296288
