gene_pair,A549_SL_score,A549_standard_error,HT29_SL_score,HT29_standard_error,OVCAR8_SL_score,OVCAR8_standard_error
ABHD4|ABHD5,-5.110132547165056e-05,0.0012008683807936034,-7.241940985740985e-05,0.0022605280831800552,-9.433333423283168e-05,0.0028928380809335645
ABL1|ABL2,-0.026985560581116272,0.01854297736776824,-0.02828448857252254,0.019258529409122246,3.4284814853559795e-06,0.001085620579061037
ABR|BCR,-0.00015766609941038036,0.003422369802266562,-7.185173417223313e-05,0.0019053003344859415,-5.866461119841743e-05,0.0015244643869915873
ACAP2|ACAP3,3.1865517324368274e-05,0.0030934971869016523,1.5009777253913478e-05,0.0027648582395554617,2.0295948792441638e-05,0.0021008755059587782
ACTG1|ACTR1B,0.0003495562196369438,0.004243570826991725,0.0001578183756694255,0.004201201262598641,-6.720860257423812e-05,0.0018286290177082778
ACVR2A|ACVR2B,-1.554193778966083e-05,0.0021284930532440324,2.916817582604425e-07,0.00028363921978539385,-1.0292292577170533e-05,0.0004745884602641146
AGAP1|AGAP3,0.008594895969654246,0.002923824088780723,0.00922861426218197,0.002243936235280387,0.006109290475714166,0.004068396224184888
AGAP1|AGAP9,-0.010243130675902509,0.003955524695349384,-0.009643231314420868,0.003543155344401972,-0.006182781558224141,0.001982129977695953
AKT1|AKT2,4.9899097163628845e-05,0.003996830607232951,6.45117353530949e-07,0.0028807230588651107,-8.936860702971369e-06,0.0014066948571508269
ALG10|ALG10B,-2.1100589698526868e-05,0.0026524357098060575,-2.7645428776180208e-05,0.001662880812876777,-7.707632626881134e-05,0.0015803772097443306
ANKRA2|RFXANK,0.00010629727107916122,0.002154791228431108,5.843067960593763e-05,0.0025412208824543876,2.8500315001847884e-05,0.00163102726534328
ANKRD13A|ANKRD13D,2.0293132193476777e-05,0.001067163730865488,-2.9338956629555558e-06,0.0014070672202163015,4.345980043189393e-05,0.0016897087175299144
ANXA11|ANXA7,1.380782758020338e-06,0.003927827294441476,-5.187950475213057e-06,0.0013539601970365583,2.6055540717028387e-05,0.0018917881342855132
AP1B1|AP2B1,-6.578590562362269e-07,0.0012698115026727231,-7.286063593363466e-06,0.002212069970058178,5.6006051520831233e-05,0.0026024318896254897
AP2A1|AP2A2,2.2510418226072877e-05,0.004011563576507869,-1.2253534036943403e-05,0.005139779885263393,-4.7106214186372806e-05,0.0038560848662330177
AP3M1|AP3M2,-9.430886637584427e-06,0.001876483041031982,5.0100492043138166e-05,0.0013170625028181499,4.240984660977245e-06,0.0008670961957582035
AP3S1|AP3S2,-1.0655956135897155e-05,0.0016956479728389426,-6.693588485737509e-07,0.0018110136379117013,-2.1080724688140227e-06,0.0011478405331913064
APPL1|APPL2,1.4722417166962432e-05,0.002388781516033665,6.242211807650561e-06,0.0007929124893218497,2.432272122264434e-05,0.001774415677387445
ARFGEF1|ARFGEF2,-0.0002541290177209801,0.005611385547134036,-0.0002280171555205595,0.004196496324374629,0.0003214942079269743,0.006668840456494452
ARFIP1|ARFIP2,2.807062100164866e-05,0.0029356466957987278,-4.389536943566474e-06,0.0018036528879005718,3.8206430825255603e-07,0.001263810098401123
ARHGEF3|NET1,-2.000759460477064e-05,0.0012074592352803754,-5.990995778782433e-06,0.0014136491280981704,1.6371141279959546e-07,0.0009552610884478812
ARID1A|ARID1B,1.6870894474191322e-05,0.003700144074380328,5.33685453801527e-06,0.004069300610001708,1.510921209664969e-06,0.0015946506029674572
ARL8A|ARL8B,1.695490612447596e-05,0.0036899002270567175,-8.246549138218256e-07,0.002214087226461775,-1.1716018615696525e-05,0.0024184035202211946
ARPC1A|ARPC1B,-2.8379177484469694e-05,0.005715602373887432,0.0002211414995683731,0.005744538274077702,0.00010487644683998852,0.002679184830382602
ARPC5|ARPC5L,1.8950707840488985e-05,0.0012869005013723949,-2.034966481235615e-06,0.0007186566617333808,-1.6772317963376082e-06,0.001188102958309061
ARPP19|ENSA,-3.843182552717058e-05,0.007470652377531957,-8.409413829599563e-06,0.0032614673022021176,-4.560075753458194e-06,0.005312073086899884
ASAP1|ASAP2,-3.1012145853967806e-05,0.0010927001357064132,4.479824654423586e-06,0.0026005906956219796,1.5288442116402777e-05,0.0016034828477370397
ASIC1|ASIC3,3.4015873516966987e-06,0.0031745208029817823,-1.1170573444858118e-05,0.001501622190866533,-7.948815512211679e-06,0.0014977427457354329
ATAD2|ATAD2B,-2.8568063225442278e-05,0.0026342359126676927,-1.0894856931157697e-06,0.0015299659759973653,-6.552398646284911e-06,0.0015555801031091536
ATAD3A|ATAD3B,-9.84460838893142e-06,0.0034980354239054156,2.119267679681933e-05,0.004934365179039101,3.1063173264178623e-07,3.083381435883534e-07
ATF1|CREB1,0.001713636207527967,0.00289645514508273,-0.001648745846720602,0.0014512238074548742,-0.005859879305436765,0.0030683619027387387
ATF1|CREM,-0.0016811160117213503,0.0035214452959830174,0.001646081050220664,0.0027882441187151302,0.005847257014222503,0.001245790638743044
ATF2|ATF7,2.3125164473305728e-06,0.002450583175261439,-3.862759404057694e-06,0.0007526246090545854,5.2936707275463846e-06,0.0012820844433675135
ATP6V0A1|ATP6V0A2,0.00015544086392467305,0.0036293646135083972,-1.6010098593591568e-05,0.0016131406580198067,2.8625714573830376e-06,0.0007471562796496833
B4GALT1|B4GALT2,0.000414418960345431,0.001895857333643721,0.0016649861775149281,0.002482506285316038,-3.009673715822133e-06,0.0014005698928702295
BCL2L1|MCL1,9.80226017973065e-05,0.004248416909017568,5.023336122715759e-05,0.00992290815673337,3.955363962243916e-05,0.002723624333022347
BICD1|BICD2,-3.340044281411695e-06,0.001646408583667099,1.074128475843218e-05,0.0017722838331634216,-1.714060230307815e-05,0.0013263555774450156
BRCA1|PARP1,-2.69593631559675e-05,0.003938155310368936,4.532552736136175e-06,0.0033176386715124255,-4.5172238547259834e-05,0.003977359867953541
BRWD1|PHIP,4.437044332531201e-05,0.0016134452861951223,1.2797285937122322e-05,0.0013522767863997272,2.3079434168654656e-06,0.0013601376561454563
BTBD1|BTBD2,4.3522145805580115e-05,0.004019705706444022,-1.4534613884099108e-05,0.002007576895225951,3.549999052067222e-06,0.0024948902266020275
BTN2A1|BTN2A2,2.535177904764337e-05,0.0032715193590957168,5.674561191388378e-06,0.002172446439630204,-1.1036657967024761e-06,0.0014517177409740316
BTN3A1|BTN3A3,-0.0001341819969796302,0.002151189423672641,1.537728218832986e-08,0.001766126943644779,-7.571889930189923e-05,0.0010146289201878945
CAMKK1|CAMKK2,-1.1541600666588171e-05,0.002781429893985358,-1.1365355488164432e-05,0.0012155355376159906,3.215384784017234e-06,0.0013130988330138963
CAPZA1|CAPZA2,9.558056929167187e-07,0.0019439873414125153,-5.146584982567642e-07,0.004103827008813389,-3.41288296946993e-05,0.004179862714525172
CBX3|CBX5,-2.0912229253698832e-06,0.003298629199670837,1.143629350692294e-05,0.0028463185920352347,-3.928916356205687e-06,0.0022338142563977283
CCNE1|CCNE2,3.005455239730232e-05,0.0041461658893306,1.622929144252784e-07,0.0020420186586674635,2.403403693107542e-05,0.005362970549904282
CCNG1|CCNG2,-5.867860631867147e-07,0.0024736123152643897,2.6718919154952417e-05,0.0021234683390249924,-1.2091126636581961e-06,0.0009462011367882946
CCNT1|CCNT2,0.0001703652372909703,0.009447808690957463,0.00036177703212621356,0.010202791466018504,4.438735471597023e-05,0.007091459731806402
CCNY|CCNYL1,-1.0963955115313636e-05,0.0028298698645925486,-1.558812534249104e-05,0.0017407514043552943,9.107945444539498e-07,0.000659405515680091
CDC34|UBE2R2,2.6797072193005905e-05,0.001424953260046881,-1.61350931828662e-05,0.0025782944484035565,-6.46488646192671e-05,0.003030190755886642
CDC42BPA|CDC42BPB,6.815270106566265e-06,0.0012037565346337798,2.185522488136471e-05,0.0013060496859428868,-5.4712682283014006e-06,0.002102775032196731
CDH1|CDH3,-1.836262452355032e-05,0.0019986433400945042,3.5844354372735786e-06,0.0015772366276460637,-5.50579073527334e-06,0.001059415579503017
CDK3|CDK5,-2.7406636335172707e-05,0.0017054142679052307,1.7598581625144494e-05,0.002928767913440292,-2.1146258900872628e-07,0.0016226135283096946
CHD1|CHD2,3.662708594177117e-05,0.0024620805190434833,1.0869897468494353e-05,0.000820820396650523,-8.640989426449295e-06,0.0013498359110659885
CHKA|CHKB,1.0584204093046686e-05,0.0017937511690231348,-2.275075810315472e-05,0.0016828298693717604,7.78497571062791e-06,0.0012673983330532348
CHUK|IKBKB,-2.056704757846189e-05,0.001132366849105739,5.307877653705033e-06,0.0017289498376313929,2.1253054842422668e-05,0.001549418652631474
CISD1|CISD2,-0.020132369308096382,0.008286409039020969,-0.022467872045468275,0.008095385417905342,-0.00029127159293119526,0.003771442754097442
CLSTN1|CLSTN3,3.752023908540656e-08,0.0022040467056383046,-5.300734396119284e-06,0.0024064509784393106,-2.3562051930628127e-06,0.0010970126962309983
CLTA|CLTB,-4.752509669769194e-06,0.0038069125487658383,3.468495791168295e-05,0.0018955305274811819,4.4688278428176636e-05,0.0018825723906796057
CNNM2|CNNM4,1.1077312205233657e-05,0.002152000801661978,5.41824128610307e-06,0.002546999135669262,1.2099405455722992e-05,0.002498274153489477
CNOT7|CNOT8,-8.933625324539538e-05,0.0038585898842479582,-9.074916204344764e-06,0.003578256936226564,-1.5668153552923008e-05,0.0021507841605412125
COPS7A|COPS7B,-7.52556155661499e-06,0.0012818485621151178,1.2833710087608214e-06,0.0007834998616643421,6.703661821205742e-07,7.50385681709071e-05
COQ8A|COQ8B,8.11039739250415e-06,0.003643698443635894,-1.9691055225688913e-06,0.002207749094533601,2.8823568353918293e-06,0.004434871923388121
CORO1B|CORO1C,-9.718337543555987e-06,0.0012513001958929753,1.6750096615003596e-06,0.0015444097200677147,6.032103391238423e-06,0.0016757601459688918
CPEB2|CPEB4,5.7010171819733684e-06,0.003464789352152829,2.0718861170122684e-05,0.0008708034306706623,8.81872194532908e-06,0.0009021325034007399
CPNE1|CPNE2,-4.371902425135163e-05,0.0037934979208786865,5.38560787261154e-06,0.0030456012309742733,1.7761735314450157e-06,0.0020075159792658503
CRTAP|P3H4,-5.947504679495699e-06,0.0025862222933637946,2.228605340412779e-06,0.0017766309361559277,2.1940201332454953e-06,0.0011364335298267494
CRY1|CRY2,-1.1251722512362369e-05,0.001860040945754468,0.00013052193146798681,0.0024735865659988063,6.423784185746585e-05,0.0011157865856193298
CSNK1D|CSNK1E,-0.00018293180768960847,0.006944708786788184,3.183753263658668e-05,0.00493499899198445,1.318130649316672e-05,0.003741286907469628
CSNK1G1|CSNK1G2,9.862180557898251e-06,0.0019737820921203234,6.451792068460114e-06,0.0012949873101937952,7.1916318311943736e-06,0.0016605668234410485
