gene_pair,SL_score,standard_error,Gene 1,Gene 2
A2M|PZP,0.9592811143068154,0.9840114311404282,A2M,PZP
AADACL3|AADACL4,-0.298262076987738,0.3147565292067329,AADACL3,AADACL4
AADAC|AADACL2,-0.8441519285323628,1.1852439559207422,AADAC,AADACL2
ABCC1|ABCC3,-1.1073720713915698,0.6913940179433171,ABCC1,ABCC3
ABCC8|ABCC9,-0.30578915512578686,0.2559151948294465,ABCC8,ABCC9
ABCD1|ABCD2,-0.6554650810208489,0.7416385059798714,ABCD1,ABCD2
ABCG1|ABCG4,0.09048616200007088,0.14521272395178283,ABCG1,ABCG4
ABHD4|ABHD5,-0.1838312983320864,0.21073608994783813,ABHD4,ABHD5
ABI1|ABI2,-6.46219605776591,4.349422724226602,ABI1,ABI2
ABL1|ABL2,-0.6934847249754374,0.5510297283407737,ABL1,ABL2
ABTB2|BTBD11,-0.5767439237623188,3.1590233317671337,ABTB2,BTBD11
ACACA|ACACB,-0.30439582821147926,0.3454268873821945,ACACA,ACACB
ACO1|IREB2,-0.9994933507949745,1.5115650487030325,ACO1,IREB2
ACSL3|ACSL4,-0.5220510744804057,0.5719648028091621,ACSL3,ACSL4
ACTA2|ACTG2,0.13618756244340782,0.20356981829067525,ACTA2,ACTG2
ACTL6A|ACTL6B,0.6207554403791214,0.9561587828992466,ACTL6A,ACTL6B
ACTL7A|ACTL7B,-0.25749169029432933,0.24901451836471494,ACTL7A,ACTL7B
ACTRT1|ACTRT2,-0.2863065478467065,0.43249785667264296,ACTRT1,ACTRT2
ACVR1|ACVRL1,-0.41709075716445765,0.25247839650271264,ACVR1,ACVRL1
ACVR2A|ACVR2B,-0.5348528041729754,0.5680956434255576,ACVR2A,ACVR2B
ADAMTS10|ADAMTS6,-0.3848436388223728,0.7904879641238218,ADAMTS10,ADAMTS6
ADAMTS16|ADAMTS18,16.31624975458383,24.219933375397424,ADAMTS16,ADAMTS18
