gene_pair,SL_score,standard_error,Gene 1,Gene 2
AARS|AARS2,-0.05792470377082858,0.009934289924360634,AARS,AARS2
AASS|MCM2,-0.0033125722705433136,0.0022613153194224874,AASS,MCM2
ABCB6|ABCB7,-0.019966022533835566,0.0036388528764932536,ABCB6,ABCB7
ABCC12|NOP56,-0.009357320602300304,0.0029892970967595645,ABCC12,NOP56
ABCF1|ABCF3,-0.00447663361386998,0.0024328651973886143,ABCF1,ABCF3
ABHD12|ABHD12B,-0.013779671391535296,0.002513026043195679,ABHD12,ABHD12B
ABL1|ABL2,-0.014539725424520575,0.0024987253484486,ABL1,ABL2
ABL1|EGFR,-0.0002291814084576257,0.0014009846711431938,ABL1,EGFR
ABTB2|BTBD11,-0.017539039179504855,0.0037463705438320156,ABTB2,BTBD11
AC002398.9|PSENEN,-0.04090568042508615,0.00591529811043963,AC002398.9,PSENEN
AC007040.11|TEX261,-0.019618680310433453,0.004420294662584508,AC007040.11,TEX261
ACAA1|HADHB,-0.03417461466572272,0.005632861325862655,ACAA1,HADHB
ACACA|ACACB,-0.01958425561059027,0.002054246753897117,ACACA,ACACB
ACE|CTD-2501B8.1,-0.010593405130801134,0.004228014257698974,ACE,CTD-2501B8.1
ACN9|FANCI,-0.012452685463660487,0.0036888467374689912,ACN9,FANCI
ACSF2|ACSF3,-0.03184329027519413,0.0037070484628872664,ACSF2,ACSF3
ACSL3|ACSL4,-0.024563582649784997,0.004963750007353395,ACSL3,ACSL4
ADAM10|ADAM17,-0.006585223817545715,0.002933671990505711,ADAM10,ADAM17
ADAMTS12|SNRPB,-0.012238010012345549,0.003058556660921107,ADAMTS12,SNRPB
ADAMTS19|DSN1,-0.00033568395608130297,0.002616437974570986,ADAMTS19,DSN1
ADAMTS20|ARPC1B,-0.007993937208962434,0.004048146826224581,ADAMTS20,ARPC1B
ADAMTS20|CSDE1,-0.021129444454561764,0.0037374491924462897,ADAMTS20,CSDE1
ADAMTS20|ENOSF1,-0.014407161798049241,0.003895452512753575,ADAMTS20,ENOSF1
ADAMTS20|RCAN3,-0.009378760203412044,0.003666477148661306,ADAMTS20,RCAN3
