gene_pair,SL_score,standard_error,Gene 1,Gene 2
AARS|AARS2,-0.06384822690278406,0.012180989713875531,AARS,AARS2
AASS|MCM2,-0.006935644917703495,0.001972536354214822,AASS,MCM2
ABCB6|ABCB7,-0.015795876951440458,0.0018773172691596348,ABCB6,ABCB7
ABCC12|NOP56,-0.009799613224401035,0.0017782291501253398,ABCC12,NOP56
ABCF1|ABCF3,-0.005858708125960709,0.0018630549056037834,ABCF1,ABCF3
ABHD12|ABHD12B,-0.010877050453851041,0.0013637313541923807,ABHD12,ABHD12B
ABL1|ABL2,-0.011100249725266133,0.001992760916860994,ABL1,ABL2
ABL1|EGFR,-0.011534069700463051,0.0022539262393867473,ABL1,EGFR
ABTB2|BTBD11,-0.012444673279884095,0.0019054347023826981,ABTB2,BTBD11
AC002398.9|PSENEN,-0.013827558335089559,0.002384501153963819,AC002398.9,PSENEN
AC007040.11|TEX261,-0.004640109125055621,0.002592998650909991,AC007040.11,TEX261
ACAA1|HADHB,-0.014798459221905265,0.002632819268305749,ACAA1,HADHB
ACACA|ACACB,-0.009644244176802734,0.0024579535901919736,ACACA,ACACB
ACE|CTD-2501B8.1,-0.025180061540995346,0.004157201818559591,ACE,CTD-2501B8.1
ACN9|FANCI,-0.014394911877576067,0.0021304411289097555,ACN9,FANCI
ACSF2|ACSF3,-0.02197114570529678,0.002023124760367829,ACSF2,ACSF3
ACSL3|ACSL4,-0.009921295186309296,0.0019466193752826755,ACSL3,ACSL4
ADAM10|ADAM17,-0.013034594975212714,0.0013621634601316708,ADAM10,ADAM17
ADAMTS12|SNRPB,-0.006434983394137593,0.0015937099204207882,ADAMTS12,SNRPB
ADAMTS19|DSN1,-0.011044552053352951,0.0016913254340760898,ADAMTS19,DSN1
ADAMTS20|ARPC1B,0.0022110579590824877,0.002087243503448653,ADAMTS20,ARPC1B
ADAMTS20|CSDE1,-0.004438653466394181,0.0020598025791164903,ADAMTS20,CSDE1
ADAMTS20|ENOSF1,-0.005254239737033154,0.0017664954371017661,ADAMTS20,ENOSF1
ADAMTS20|RCAN3,-0.007456170007511125,0.002533589075571693,ADAMTS20,RCAN3
ADAMTS20|SKAP2,-0.0016188600945955436,0.0023932449211259694,ADAMTS20,SKAP2
ADAMTSL1|ADAMTSL3,-0.00673306537882046,0.0021264996393038976,ADAMTSL1,ADAMTSL3
ADAP1|ADAP2,-0.011640888114106338,0.0014991836288546939,ADAP1,ADAP2
ADIPOR1|ADIPOR2,-0.013893348296305858,0.001969056573193032,ADIPOR1,ADIPOR2
ADSL|RP5-1042K10.14,-0.025960701842130035,0.0059233414408765275,ADSL,RP5-1042K10.14
ADSS|ADSSL1,-0.013512532837504454,0.0021281391982170576,ADSS,ADSSL1
AFG3L2|SPG7,-0.009519291267683075,0.0025502230284894603,AFG3L2,SPG7
AGFG1|AGFG2,-0.009901577121853508,0.0023283882091623383,AGFG1,AGFG2
AHNAK|EXO1,-0.006235455654184838,0.0015805411021413817,AHNAK,EXO1
AHNAK|NCAPH,-0.005562019219385998,0.0010623979960424682,AHNAK,NCAPH
AHR|AHRR,-0.026404250522158997,0.0032920537441367232,AHR,AHRR
AK2|AK8,-0.015124532471231165,0.0021286854469485775,AK2,AK8
AK3|AK4,-0.005282510262514798,0.0038016689608785185,AK3,AK4
AKR7A2|CYP11B1,-0.013407129689043862,0.0018302338420475178,AKR7A2,CYP11B1
AKT2|EGFR,-0.014798996785420078,0.0025951108064750372,AKT2,EGFR
ALAS1|ALAS2,-0.013086712866057847,0.003066955641401268,ALAS1,ALAS2
ALCAM|EXO1,-0.012141507494669058,0.002465591998620336,ALCAM,EXO1
ALKBH3|DSN1,-0.00787022950227542,0.002144906028942983,ALKBH3,DSN1
ALKBH3|EXO1,-0.009072850798124293,0.0021852365395789307,ALKBH3,EXO1
ALKBH3|NCAPH,-0.006945645162220588,0.001862091619254028,ALKBH3,NCAPH
ALKBH4|ATR,-0.03661633797432866,0.009482604999457253,ALKBH4,ATR
ALKBH4|FAM111A,-0.006335307161584626,0.0016830774403683117,ALKBH4,FAM111A
ALK|LTK,-0.009600264623767417,0.002146109484274964,ALK,LTK
AMDHD2|RP11-20I23.3,-0.014126616547839772,0.0015876478656558818,AMDHD2,RP11-20I23.3
AMOTL2|ASPM,-0.0106927487047742,0.002066734952187241,AMOTL2,ASPM
AMOTL2|CDC25C,-0.010528547604686678,0.0012946692483779025,AMOTL2,CDC25C
ANKRD11|ANKRD12,-0.01081344122713581,0.0021288967086800603,ANKRD11,ANKRD12
ANKRD55|INVS,-0.02285759393549127,0.003199437018884048,ANKRD55,INVS
ANKS4B|USH1G,-0.037269870971984594,0.0030298803583583152,ANKS4B,USH1G
ANKS6|KIDINS220,-0.00715171664538939,0.0014851619971361979,ANKS6,KIDINS220
AOX1|XDH,-0.014119671260313844,0.002515027984814718,AOX1,XDH
AP000304.12|ATP5O,-0.026551851801408444,0.006281026407455292,AP000304.12,ATP5O
AP2A1|AP2A2,-0.01662885697891182,0.002711930176349621,AP2A1,AP2A2
APBB1IP|RAPH1,-0.004522072889187942,0.0017311233656555412,APBB1IP,RAPH1
APC|APC2,-0.004653201087956109,0.0018678090712130843,APC,APC2
APH1A|APH1B,-0.021035416557548623,0.0024494708334133744,APH1A,APH1B
ARFGEF1|ARFGEF2,-0.017044156021405122,0.0019242788418649148,ARFGEF1,ARFGEF2
ARFIP1|ARFIP2,-0.01122414955790942,0.002099098093328409,ARFIP1,ARFIP2
ARHGAP10|CYP11B1,-0.010569828827602308,0.0018368707587180853,ARHGAP10,CYP11B1
ARHGAP20|TAGAP,-0.008489474204841932,0.0026352429387140443,ARHGAP20,TAGAP
ARHGAP35|ARHGAP5,-0.0019897345522057403,0.002291812671315404,ARHGAP35,ARHGAP5
ARHGEF10|ASPM,-0.01259046954113033,0.0023640382508841222,ARHGEF10,ASPM
ARHGEF10|EXO1,-0.007452972800319036,0.001708232884703759,ARHGEF10,EXO1
ARHGEF11|ARHGEF12,-0.008257574185068381,0.002016204814430481,ARHGEF11,ARHGEF12
ARHGEF2|TP53,-0.010046180818369787,0.0019508870521739749,ARHGEF2,TP53
ARHGEF3|NET1,-0.008677384415960679,0.001962279821566149,ARHGEF3,NET1
ARHGEF6|ARHGEF7,-0.003853966747671395,0.002851062871428821,ARHGEF6,ARHGEF7
ARID1A|ARID1B,-0.022639992762892303,0.002841733808857731,ARID1A,ARID1B
ARID4A|ARID4B,-0.004287962877111693,0.0036311046452581356,ARID4A,ARID4B
ARL6IP5|ASPM,-0.02315463724203692,0.0027403907002704502,ARL6IP5,ASPM
ARL6IP5|PRAF2,-0.012911723697343516,0.0022598552541973098,ARL6IP5,PRAF2
ARNTL2|DCTPP1,-0.00657652468711956,0.00194184463418695,ARNTL2,DCTPP1
ARNTL2|TYMS,-0.0147868023677854,0.0018546621092450318,ARNTL2,TYMS
ARPC1A|ARPC1B,-0.016576699587186116,0.003806383078044106,ARPC1A,ARPC1B
ARPC1B|ASPM,-0.006586230821352341,0.0020911857020143422,ARPC1B,ASPM
ARPC1B|BRIP1,-0.006832369161188796,0.0022466535733501026,ARPC1B,BRIP1
ARPC1B|CDC25C,-0.010057731022166923,0.002508551625355196,ARPC1B,CDC25C
ARPC1B|CDT1,-0.0034062096687069855,0.0020696055864444698,ARPC1B,CDT1
ARPC1B|CENPE,-0.005069906860178607,0.002517920346071712,ARPC1B,CENPE
ARPC1B|CENPQ,-0.011726209585844168,0.002139087989574289,ARPC1B,CENPQ
ARPC1B|EXO1,-0.01073391793453149,0.002053394293857236,ARPC1B,EXO1
ARPC1B|KIF15,-0.008408629273127856,0.0019835418155575986,ARPC1B,KIF15
ARPC1B|L2HGDH,-0.008482272215673261,0.002042971965596889,ARPC1B,L2HGDH
ARPC1B|MND1,-0.008740809784198078,0.0024294773322252046,ARPC1B,MND1
ARPC1B|VRK1,-0.005351116162442897,0.0020274269794698842,ARPC1B,VRK1
ARPC5|ARPC5L,-0.021509015026520747,0.0022300916795050625,ARPC5,ARPC5L
ARRDC2|IQGAP3,-0.01771179668624067,0.0020965072265119334,ARRDC2,IQGAP3
ASAH2|ASAH2B,-0.008061056270815261,0.0017635790466514227,ASAH2,ASAH2B
ASCC3|SNRNP200,-0.06856359466733147,0.009612669458449883,ASCC3,SNRNP200
ASF1A|ASF1B,-0.0514939890991103,0.006656852504492265,ASF1A,ASF1B
ASPM|CASKIN1,-0.019286987432610335,0.0031470847860139055,ASPM,CASKIN1
ASPM|CCND1,-0.01607871137680821,0.0029105673447129147,ASPM,CCND1
ASPM|CPPED1,-0.019646974460171527,0.003199951157653029,ASPM,CPPED1
ASPM|CYB5A,-0.015114135167620866,0.003632099945638298,ASPM,CYB5A
ASPM|DBNDD2,-0.00940721518136911,0.002980285575127489,ASPM,DBNDD2
ASPM|DCP1B,-0.01948252601123003,0.0032436636808718068,ASPM,DCP1B
ASPM|DNASE1L3,-0.023713296899011943,0.0037578951028514234,ASPM,DNASE1L3
ASPM|DPP7,-0.014794573380775708,0.0026974608127968503,ASPM,DPP7
ASPM|EAF1,-0.01768848676060301,0.0023182431815135076,ASPM,EAF1
ASPM|ECHDC1,-0.018781644090206842,0.002855846634101597,ASPM,ECHDC1
ASPM|EPAS1,-0.019523627525739714,0.002436835442062809,ASPM,EPAS1
ASPM|ETFB,-0.017250131177310085,0.0026969034733332533,ASPM,ETFB
ASPM|FANCM,-0.017118853839515502,0.0035136492377933733,ASPM,FANCM
ASPM|FXYD5,-0.021669397117342486,0.0037391949555815158,ASPM,FXYD5
ASPM|GNB5,-0.02159057891459575,0.003510448931771133,ASPM,GNB5
ASPM|INPP5K,-0.026520037185381106,0.00442643630924622,ASPM,INPP5K
ASPM|IVD,-0.021738417316147885,0.0030775405676641923,ASPM,IVD
ASPM|LAMB2,-0.019498421272725615,0.0032858402041441082,ASPM,LAMB2
ASPM|LYSMD2,-0.017164526426365716,0.0031464194728788968,ASPM,LYSMD2
ASPM|MLH1,-0.022981981046772137,0.0030827241717555627,ASPM,MLH1
ASPM|MLKL,-0.020866041733962046,0.0026946292489734482,ASPM,MLKL
ASPM|MOCS1,-0.017348816503035568,0.0024439438916280557,ASPM,MOCS1
ASPM|MVP,-0.01962742703529143,0.002896365110645133,ASPM,MVP
ASPM|MYD88,-0.01597724430414541,0.002962674791281413,ASPM,MYD88
ASPM|NAGPA,-0.01923973849053622,0.0027343318752977345,ASPM,NAGPA
ASPM|NCEH1,-0.021203756350162143,0.0026404891886588023,ASPM,NCEH1
ASPM|NEK6,-0.02259435457819833,0.0022421660717155513,ASPM,NEK6
ASPM|NME3,-0.01871170937083575,0.002581202854293143,ASPM,NME3
ASPM|NNT,-0.016752660760500894,0.002899022210784398,ASPM,NNT
ASPM|NPDC1,-0.016465069532626334,0.0024706794562287865,ASPM,NPDC1
ASPM|OSBPL10,-0.014665918730296112,0.0025933619328732914,ASPM,OSBPL10
ASPM|OXCT1,-0.019463851640711273,0.003283105048692956,ASPM,OXCT1
ASPM|PAM,-0.01943189187986698,0.003003352384740755,ASPM,PAM
ASPM|PARP3,-0.019347262797022268,0.003046114715134894,ASPM,PARP3
ASPM|PHF11,-0.015915208105219895,0.0027241855243504568,ASPM,PHF11
ASPM|POLL,-0.019858677131975068,0.0029658144385400096,ASPM,POLL
ASPM|PRICKLE4,-0.01987574298357565,0.0028414893576784736,ASPM,PRICKLE4
ASPM|PTPRS,-0.019983927500671416,0.0031758857956254312,ASPM,PTPRS
