gene_pair,SL_score,standard_error,Gene 1,Gene 2
AARS|AARS2,-0.09721158889704369,0.012486399017489918,AARS,AARS2
AASS|MCM2,-0.021288713813847022,0.004409631107601567,AASS,MCM2
ABCB6|ABCB7,-0.049233821837344365,0.0044797704268904935,ABCB6,ABCB7
ABCC12|NOP56,-0.020359303675629256,0.005346760596867327,ABCC12,NOP56
ABCF1|ABCF3,-0.01731681906585549,0.0066404504513538146,ABCF1,ABCF3
ABHD12|ABHD12B,-0.0406473036601016,0.005152719510541279,ABHD12,ABHD12B
ABL1|ABL2,-0.0066850485510566325,0.005075333924481888,ABL1,ABL2
ABL1|EGFR,-0.04121770010588416,0.005173036995071588,ABL1,EGFR
ABTB2|BTBD11,-0.0514266708483012,0.0071363541263630495,ABTB2,BTBD11
AC002398.9|PSENEN,-0.07659297025408394,0.00786211091052486,AC002398.9,PSENEN
AC007040.11|TEX261,-0.04391997585628765,0.006482713149664312,AC007040.11,TEX261
ACAA1|HADHB,-0.06355450269089456,0.008001961667415831,ACAA1,HADHB
ACACA|ACACB,-0.02711847312012994,0.004871293287224429,ACACA,ACACB
ACE|CTD-2501B8.1,-0.05652546530574241,0.00872256628878329,ACE,CTD-2501B8.1
ACN9|FANCI,-0.04431572711921982,0.0077509879977772315,ACN9,FANCI
ACSF2|ACSF3,-0.049665379471071774,0.006620839011003231,ACSF2,ACSF3
ACSL3|ACSL4,-0.06876120184604408,0.007329631423588698,ACSL3,ACSL4
ADAM10|ADAM17,-0.021181467553991938,0.006503277356935416,ADAM10,ADAM17
ADAMTS12|SNRPB,-0.035773116540404215,0.007187894065897493,ADAMTS12,SNRPB
ADAMTS19|DSN1,-0.024525634957890667,0.004070759764914505,ADAMTS19,DSN1
ADAMTS20|ARPC1B,-0.04164605924097604,0.0053678835835552045,ADAMTS20,ARPC1B
ADAMTS20|CSDE1,-0.01897405456785175,0.006777478001298902,ADAMTS20,CSDE1
ADAMTS20|ENOSF1,-0.05069699283417108,0.007848532367159853,ADAMTS20,ENOSF1
ADAMTS20|RCAN3,-0.03557574431970551,0.006905337624389425,ADAMTS20,RCAN3
ADAMTS20|SKAP2,-0.03394012612736176,0.008535030628601241,ADAMTS20,SKAP2
ADAMTSL1|ADAMTSL3,-0.034528415753975604,0.00440876520369569,ADAMTSL1,ADAMTSL3
ADAP1|ADAP2,-0.05350290358022416,0.005741641329501538,ADAP1,ADAP2
ADIPOR1|ADIPOR2,-0.043765720173920636,0.005661324391320666,ADIPOR1,ADIPOR2
ADSL|RP5-1042K10.14,-0.04472270302266261,0.008861155082890374,ADSL,RP5-1042K10.14
ADSS|ADSSL1,-0.04753780912503955,0.00864144975667648,ADSS,ADSSL1
AFG3L2|SPG7,-0.04164273150388941,0.007554732336694896,AFG3L2,SPG7
AGFG1|AGFG2,-0.043878365175446445,0.007003356054577493,AGFG1,AGFG2
AHNAK|EXO1,-0.046529088646575956,0.005622227999835007,AHNAK,EXO1
AHNAK|NCAPH,-0.03504629940671458,0.0037532172724750617,AHNAK,NCAPH
AHR|AHRR,0.0441106086907621,0.010710734901689473,AHR,AHRR
AK2|AK8,-0.03177454422785007,0.00426587229985185,AK2,AK8
AK3|AK4,-0.008842995288556603,0.011596325834572672,AK3,AK4
AKR7A2|CYP11B1,-0.04829317910011526,0.005456896860793102,AKR7A2,CYP11B1
AKT2|EGFR,-0.03064849831788603,0.006004670351947735,AKT2,EGFR
ALAS1|ALAS2,-0.07212318963051793,0.010663556686493972,ALAS1,ALAS2
ALCAM|EXO1,-0.019838716819523327,0.005339512389701048,ALCAM,EXO1
ALKBH3|DSN1,-0.036534563876750574,0.0048276388381173424,ALKBH3,DSN1
ALKBH3|EXO1,-0.04480398110945255,0.005783013909395551,ALKBH3,EXO1
ALKBH3|NCAPH,-0.036208073131966834,0.006512971864397787,ALKBH3,NCAPH
ALKBH4|ATR,-0.09634600895230966,0.010938470146843505,ALKBH4,ATR
ALKBH4|FAM111A,-0.03827190390649887,0.006076116442568497,ALKBH4,FAM111A
ALK|LTK,-0.0366066471301753,0.005910522579845161,ALK,LTK
AMDHD2|RP11-20I23.3,-0.037517082584710905,0.006461204751055168,AMDHD2,RP11-20I23.3
AMOTL2|ASPM,0.09236626402891876,0.006694332340424129,AMOTL2,ASPM
AMOTL2|CDC25C,0.1225426020755984,0.004708672337571595,AMOTL2,CDC25C
ANKRD11|ANKRD12,-0.04606081724727274,0.006823870356953572,ANKRD11,ANKRD12
ANKRD55|INVS,-0.040953324437381255,0.006201132372030655,ANKRD55,INVS
ANKS4B|USH1G,-0.06373468124978598,0.00531632022962151,ANKS4B,USH1G
ANKS6|KIDINS220,-0.04890926280761759,0.005237177829053822,ANKS6,KIDINS220
AOX1|XDH,-0.04682862132777254,0.005625807463165362,AOX1,XDH
AP000304.12|ATP5O,-0.05784502073806331,0.010545886488050129,AP000304.12,ATP5O
AP2A1|AP2A2,-0.05203835948352373,0.00795136556954684,AP2A1,AP2A2
APBB1IP|RAPH1,-0.01720653713175553,0.006132214612972116,APBB1IP,RAPH1
APC|APC2,-0.027054257621638732,0.003662356485847635,APC,APC2
APH1A|APH1B,-0.057575207952866,0.005638183328431725,APH1A,APH1B
ARFGEF1|ARFGEF2,-0.06849933321998257,0.007218583839177464,ARFGEF1,ARFGEF2
ARFIP1|ARFIP2,-0.048745962421420784,0.004227251176406364,ARFIP1,ARFIP2
ARHGAP10|CYP11B1,-0.02959471166346837,0.004371583466570536,ARHGAP10,CYP11B1
ARHGAP20|TAGAP,-0.021537686944972104,0.003753473181166324,ARHGAP20,TAGAP
ARHGAP35|ARHGAP5,0.0753508251015634,0.009480455075434263,ARHGAP35,ARHGAP5
ARHGEF10|ASPM,-0.050617933856875234,0.005708788453943559,ARHGEF10,ASPM
ARHGEF10|EXO1,-0.04389861700017855,0.00437475660524096,ARHGEF10,EXO1
ARHGEF11|ARHGEF12,-0.05757739662001974,0.010355643428647105,ARHGEF11,ARHGEF12
ARHGEF2|TP53,0.19555853880207522,0.010128875259614976,ARHGEF2,TP53
ARHGEF3|NET1,-0.0277213228761192,0.002940572291112116,ARHGEF3,NET1
ARHGEF6|ARHGEF7,-0.02527704361161661,0.004734477088108218,ARHGEF6,ARHGEF7
