gene1	gene2	n_combn_HAP1_T12	n_single_HAP1_T12	mean_combn_HAP1_T12	mean_single_HAP1_T12	var_combn_HAP1_T12	var_single_HAP1_T12	orientation_agree_HAP1_T12	differential_combn_vs_single_HAP1_T12	pval1_combn_vs_single_HAP1_T12	pval2_combn_vs_single_HAP1_T12	fdr1_combn_vs_single_HAP1_T12	fdr2_combn_vs_single_HAP1_T12	significant_combn_vs_single_HAP1_T12	n_combn_HAP1_T18	n_single_HAP1_T18	mean_combn_HAP1_T18	mean_single_HAP1_T18	var_combn_HAP1_T18	var_single_HAP1_T18	orientation_agree_HAP1_T18	differential_combn_vs_single_HAP1_T18	pval1_combn_vs_single_HAP1_T18	pval2_combn_vs_single_HAP1_T18	fdr1_combn_vs_single_HAP1_T18	fdr2_combn_vs_single_HAP1_T18	significant_combn_vs_single_HAP1_T18	n_combn_RPE1_T18	n_single_RPE1_T18	mean_combn_RPE1_T18	mean_single_RPE1_T18	var_combn_RPE1_T18	var_single_RPE1_T18	orientation_agree_RPE1_T18	differential_combn_vs_single_RPE1_T18	pval1_combn_vs_single_RPE1_T18	pval2_combn_vs_single_RPE1_T18	fdr1_combn_vs_single_RPE1_T18	fdr2_combn_vs_single_RPE1_T18	significant_combn_vs_single_RPE1_T18	n_combn_RPE1_T24	n_single_RPE1_T24	mean_combn_RPE1_T24	mean_single_RPE1_T24	var_combn_RPE1_T24	var_single_RPE1_T24	orientation_agree_RPE1_T24	differential_combn_vs_single_RPE1_T24	pval1_combn_vs_single_RPE1_T24	pval2_combn_vs_single_RPE1_T24	fdr1_combn_vs_single_RPE1_T24	fdr2_combn_vs_single_RPE1_T24	significant_combn_vs_single_RPE1_T24
SLC16A1	SLC16A3	15	15	-0.758863388600823	0.739345738458281	0.373112862410399	0.358987293395874	TRUE	-1.08805691752684	0.0174072055092547	8.96529664439512e-10	0.387141866472203	8.77320794999998e-07	NA	15	15	-0.735643496667454	1.00587464666133	0.431537856830439	0.306268485550751	TRUE	-1.30801260961015	0.0185661955228196	2.96390425988629e-10	0.42396937720039	4.83400037709657e-07	NA	15	15	-0.412619515980166	-0.0830642823589877	0.17568632655473	0.919754006743451	FALSE	-0.0616883081679096	0.283608043476178	0.131527581153661	1	1	NA	15	15	-0.53424770117337	-0.513578911850201	0.32476396098493	1.03158313313498	FALSE	0.0869896705141214	0.760869116765868	0.641631022457088	1	1	NA
MDM4	TP53	15	15	0.134502537778736	0.517551503987159	0.299583885744777	0.509171036000341	TRUE	0.130907262653938	0.0912098407993083	0.89209744092742	1	1	NA	15	15	0.122473675894377	0.278534991070692	0.449154865468715	0.428364111134106	FALSE	0.301774462365491	0.0114521999157586	0.693325329731009	0.294916508361204	1	NA	15	15	1.63093956798958	0.801327089240809	2.1173905935986	1.3674232430934	TRUE	1.40962980345128	1.70055044791974e-06	0.00112065308668442	0.000510968522675958	0.0571167808638448	NA	15	15	1.77149754934209	0.805978911831624	2.86469765057946	2.04264445816734	TRUE	1.43184218309432	6.37859112287378e-06	0.0114490405529371	0.00195060146113447	0.359094091243424	NA
APC	CTNNB1	15	15	0.0643952628226183	-0.111054158076778	0.348042858011922	0.725723844874599	FALSE	0.603188982272082	0.000121682738610432	0.10458596809638	0.00960287000206022	1	NA	15	15	-0.00155898548942308	-0.188388777412815	0.502379544213883	0.505353032418235	TRUE	0.563992337946022	0.00614294161289782	0.0565120457603537	0.195172861883681	0.931129480430739	NA	15	15	-0.259829691227404	0.29418559110178	0.854172010155969	0.670246253511885	TRUE	-0.208477067823332	0.0270172007322098	0.566337796237355	0.57969655430161	1	NA	15	15	-0.346973102916221	0.651666860362169	1.28326691244408	1.38165188101709	TRUE	-0.679031774351597	0.0053640668456112	0.464975409132703	0.187344050208234	1	NA
BRAF	MAP2K1	15	15	-0.567878713600518	-0.193744320305116	0.399476369427888	0.119454329325873	TRUE	-0.0522141824072246	0.689122563314401	0.874402853879106	1	1	NA	15	15	-0.713538949412872	-0.513499352474848	0.436005201785063	0.258628364004251	FALSE	0.0712742884423857	0.0654241733593252	0.253718163430508	1	1	NA	15	15	-0.722709671157708	-0.543892460677781	0.360509738434709	0.294921632255089	FALSE	-0.0424962195341469	0.391636298579973	0.282698520144089	1	1	NA	15	15	-0.861174750374213	-0.85079753823801	0.473700454145153	0.314265736826249	FALSE	-0.0207611801820509	0.633884022565023	0.556788543070617	1	1	NA
CCNE1	CDK2	15	15	-0.714768610967911	-0.72193585215731	0.498537952373614	0.149986690499451	FALSE	0.2943069740543	0.45870785871034	0.0148966557151267	1	0.359051302464622	NA	15	15	-0.897245217539288	-1.00775398689253	0.590880322259858	0.259105918181364	FALSE	0.356054854326792	0.419479090960814	0.00563366292729453	1	0.178992115780404	NA	15	15	-0.720200168208535	-0.581417557264411	0.47528756674134	0.462751669019445	TRUE	-0.000198308145883261	0.793100633597915	0.814776530754168	1	1	NA	15	15	-0.991530027286051	-0.875676106471393	0.631397662146479	0.60263730099386	TRUE	-0.124540370004807	0.607504867554533	0.590723046598128	1	1	NA
BRAF	PEA15	15	15	-0.0341648335680345	0.343638580235307	0.155695195996799	0.229641093469617	TRUE	0.0750157409286164	0.0917825699529899	0.41218707977382	1	1	NA	15	15	-0.0197659470374952	0.275656357028364	0.182783854882476	0.387586166819027	FALSE	0.128135753676804	0.00176837448704909	0.0269255904251955	0.0786735022238087	0.563006153527152	NA	15	15	-0.453787756767002	-0.732443156650303	0.325459193942772	0.232023232102046	TRUE	0.41868228143834	0.0057409704386658	0.179981258044441	0.183842324991915	1	NA	15	15	-0.628716403412489	-1.09515773985446	0.349737812256382	0.260279033515053	TRUE	0.456584728672162	0.00558933871499555	0.162801318867959	0.190681855538513	1	NA
CBFB	RUNX1	15	15	0.253636436123363	0.000824249153862497	0.236460500186061	0.319006540483577	TRUE	0.711294508096352	7.50512495487386e-06	0.00266081090807449	0.0011845680022309	0.103325432277307	NA	15	15	0.10630300614254	-0.073919222422481	0.353388179360944	0.63712652305875	FALSE	0.59255696021804	0.00129448026150848	0.0567103826122832	0.0655344652366264	0.931129480430739	NA	15	15	1.31852935381839	1.87630404479078	1.28107835667573	3.02350637663136	TRUE	0.104174780295317	0.810805132685965	0.495738323501607	1	1	NA	15	15	2.00746191143755	2.61996434443426	2.72087613558534	5.31035702802406	TRUE	0.0645115613132982	0.871189678012099	0.759544100196122	1	1	NA
SMARCA2	SMARCA4	15	15	-0.448434099230803	-0.192971334129958	0.533522100605416	0.588218115836632	TRUE	0.193521883209665	0.135942587458133	0.486268310472862	1	1	NA	15	15	-0.712261494197582	-0.38816106304468	0.754333395893269	1.06886132474486	TRUE	0.0736690810573392	0.830046425014339	0.639975547288425	1	1	NA	15	15	0.095152551800869	0.968236898422422	0.278089238328967	0.333901826089906	TRUE	-0.33825520904736	0.101225094287381	0.0991204263495504	1	1	NA	15	15	-0.0604982798290671	0.638402012879181	0.247226132212589	0.537323149667982	TRUE	-0.303852273324355	0.43006982988761	0.0486906887807873	1	0.937941960540159	NA
BRD4	KDM4C	15	15	-0.577017575729601	-0.310794944420918	0.932955311826212	0.544480863718723	FALSE	0.110123470336176	0.184618454319321	0.0251961616905829	1	0.522379526539314	NA	15	15	-0.769909413889821	-0.778516222657007	1.09585985849728	0.711096449173677	FALSE	0.299554411301075	0.851455480986752	0.00236521597924171	1	0.0947742862883752	NA	15	15	-1.00559683083042	-0.900543783970444	1.09045911906168	0.558239141855694	TRUE	0.011353607834029	0.753394793249712	0.792639113556093	1	1	NA	15	15	-1.25764454343697	-1.12094799563263	1.12829247263045	0.608030432039732	FALSE	-0.175897927132179	0.406627309782733	0.0256200694269887	1	0.611491190846782	NA
BRD4	KDM6B	15	15	-0.693355235866154	-0.0232568043068431	0.696360298197066	0.611826896275364	TRUE	-0.294507276396198	0.208980295947731	0.129532544956372	1	1	NA	15	15	-0.93574447629228	-0.0763255271778898	0.751948641943644	0.677487529838961	TRUE	-0.536971986473147	0.0379364872187135	0.00275601625614316	0.733669317293235	0.103219196072465	NA	15	15	-0.764057031543238	-0.388748465354777	1.65239957039136	0.901210564156526	TRUE	-0.146646808891552	0.989322842395343	0.133028760187272	1	1	NA	15	15	-0.911030157749385	-0.829137349030378	1.51211739103066	0.771232285468468	FALSE	-0.0295302764678069	0.72372946062576	0.386471437062277	1	1	NA
