gene1	gene2	n_combn_A549	n_single_A549	mean_combn_A549	mean_single_A549	var_combn_A549	var_single_A549	orientation_agree_A549	differential_combn_vs_single_A549	pval1_combn_vs_single_A549	pval2_combn_vs_single_A549	fdr1_combn_vs_single_A549	fdr2_combn_vs_single_A549	significant_combn_vs_single_A549	n_combn_HT29	n_single_HT29	mean_combn_HT29	mean_single_HT29	var_combn_HT29	var_single_HT29	orientation_agree_HT29	differential_combn_vs_single_HT29	pval1_combn_vs_single_HT29	pval2_combn_vs_single_HT29	fdr1_combn_vs_single_HT29	fdr2_combn_vs_single_HT29	significant_combn_vs_single_HT29	n_combn_OVCAR8	n_single_OVCAR8	mean_combn_OVCAR8	mean_single_OVCAR8	var_combn_OVCAR8	var_single_OVCAR8	orientation_agree_OVCAR8	differential_combn_vs_single_OVCAR8	pval1_combn_vs_single_OVCAR8	pval2_combn_vs_single_OVCAR8	fdr1_combn_vs_single_OVCAR8	fdr2_combn_vs_single_OVCAR8	significant_combn_vs_single_OVCAR8
ABHD4	ABHD5	9	9	-0.0759222150000279	0.326554492776698	0.10450029413228	0.861443708208921	TRUE	-0.11658620856511	0.903015972814639	0.236571369288813	1	1	NA	9	9	0.1247850058145	0.405626501028385	0.201993702065091	0.708676779545176	FALSE	0.0298311440214567	0.179209792136473	0.458298441889445	1	1	NA	9	9	-0.111792612440195	0.154226024287294	0.184826942968904	0.597705185526717	TRUE	0.0169613903517272	0.211867958549373	0.539678837685694	1	1	NA
ABL1	ABL2	9	9	0.0553491478132744	0.105562568307062	0.102010800809637	0.218797831734813	TRUE	0.164048470159167	0.133628293772453	0.461507231925095	1	1	NA	9	9	0.122247898715963	0.0297473441019985	0.0845916853968603	0.169644855973276	TRUE	0.297394644357728	0.0311360660728481	0.0753221531304954	0.680133713152792	1	NA	9	9	0.0276777666921845	0.164359118307983	0.0526546188394814	0.120190936585831	FALSE	0.0877681062023061	0.0899588547618483	0.641424269043622	1	1	NA
ABR	BCR	9	9	0.0502988650598405	-0.293355366470367	0.20446890246236	0.635305694862301	TRUE	0.541157436415133	0.0387666691743191	0.0523177520709374	0.861048192685355	0.960290242780206	NA	9	9	0.0935974810874103	0.157594769213832	0.13684012983565	1.0237355924492	FALSE	0.287193891671862	0.0956251557015623	0.400679065803671	1	1	NA	9	9	0.061113079222033	-0.0521935160001044	0.16024235453483	0.593902837170171	FALSE	0.455756661703804	0.353844298234611	9.84855011518951e-05	1	0.0137004436581941	NA
ACAP2	ACAP3	9	9	0.294607756195727	-0.424737328185913	0.1564117323419	0.280783608554966	TRUE	0.897769863115509	0.000250777480137614	7.11321404980056e-05	0.0276180635924837	0.0134293123381074	NA	9	9	-0.0280974275323094	-0.386401959874237	0.142824670655722	0.181528323371748	TRUE	0.531841737363225	0.00092767720428188	0.00093746142987	0.0721163770332407	0.0728769895590571	NA	9	9	0.178353547103729	-0.195200180781716	0.113398056447056	0.140551469199826	TRUE	0.633399887910413	0.000424341745451621	6.96160227503996e-06	0.0415401372453462	0.0020444788926781	NA
ACTG1	ACTR1B	9	9	-2.11177134056783	-2.07442268008979	2.2256834445618	3.4827325673706	FALSE	0.189303816937099	0.00190989421757776	0.14406072112693	0.0952465770480367	1	NA	9	9	-1.67570492464503	-1.93757499538092	2.80311820933038	4.34588231171185	TRUE	0.434629891549561	0.033690583966631	0.0433483884858761	0.729902146609515	0.902163326283871	NA	9	9	-1.18619507506029	-1.56842191465624	2.75999239769587	4.66608853100744	TRUE	0.298946185562729	0.00125015077318152	0.721260081377199	0.0869550341517029	1	NA
ACVR2A	ACVR2B	9	9	0.448796346023108	0.150158151810028	0.316239321128137	0.825001800134938	TRUE	0.650875414432592	0.00979264648585423	0.00493864466810405	0.336143938602407	0.223752912944716	NA	9	9	-0.0186930316172801	-0.267962004868158	0.0522383223755444	0.215248861836986	TRUE	0.41540207629445	0.000356118913126638	0.148383300514997	0.0348615913600484	1	NA	9	9	-0.00678414870756046	0.175652047108064	0.179981695039144	0.25369624670381	TRUE	0.0782278879019609	0.544016924383479	0.688057760519123	1	1	NA
AGAP1	AGAP3	9	9	0.178919100512772	0.152434561768085	0.0823851771586792	0.249573259517194	FALSE	0.272748609509828	0.0135123036890686	0.342497368353764	0.420171319476522	1	NA	9	9	0.408004343519623	0.365176727092574	0.0602649546682906	0.207328091061423	FALSE	0.366339781100867	0.00426929598334185	0.0348814502514074	0.188070616067069	0.807940605320468	NA	9	9	0.294072477286816	0.417710624115244	0.125603959081452	0.0614723658877397	FALSE	0.213380234293748	0.0391126586637807	0.413245835713492	0.765772034610754	1	NA
AGAP1	AGAP9	9	9	-0.700808806706388	-0.108167887706248	1.21216855312998	3.16593993055544	TRUE	-0.0822470086477172	0.371963874121627	0.345280787698871	1	1	NA	9	9	-0.524622786380176	-0.00615547325553711	0.845082736072186	1.15208336129971	TRUE	0.0931941967668116	0.25995164096334	0.763427691374808	1	1	NA	9	9	-0.381760715791605	0.122223553660064	0.329239047620962	0.482892058910213	TRUE	-0.0819676952383021	0.88257842170558	0.240145834204868	1	1	NA
AKT1	AKT2	9	9	-0.775803300734323	-0.627375600759441	0.688737873609459	0.534193845230402	TRUE	0.262808377193558	0.0188228177931242	0.453454622887165	0.512895438665191	1	NA	9	9	-0.934962804885491	-0.140242886687663	1.38961989760484	0.0295562653936028	TRUE	-0.31853413779361	0.0572484080519038	0.181454957470907	1	1	NA	9	9	0.00358909138377229	0.0226981710431457	0.0448508804125699	0.094877029670099	FALSE	0.182776556231796	0.0455617522800378	0.294620427973405	0.848062787167064	1	NA
ALG10	ALG10B	9	9	-0.325926609794182	-0.0279720076140249	0.121194193116765	0.284403340331078	TRUE	-0.143056380283054	0.137441150041366	0.778497507531164	1	1	NA	9	9	-0.167164633061489	0.340879580400205	0.0552080590650338	0.176606977723228	TRUE	-0.323558593335825	0.0478364687112221	0.0294552915003085	0.896718093229314	0.734468868887052	NA	9	9	-0.752094311236888	-0.307150556313257	0.0681134666973798	0.834931771579307	TRUE	0.0098098308480243	0.694904195618766	0.691988057757518	1	1	NA
