gene1	gene2	n_combn_PC9	n_single_PC9	mean_combn_PC9	mean_single_PC9	var_combn_PC9	var_single_PC9	orientation_agree_PC9	differential_combn_vs_single_PC9	pval1_combn_vs_single_PC9	pval2_combn_vs_single_PC9	fdr1_combn_vs_single_PC9	fdr2_combn_vs_single_PC9	significant_combn_vs_single_PC9	n_combn_HeLa	n_single_HeLa	mean_combn_HeLa	mean_single_HeLa	var_combn_HeLa	var_single_HeLa	orientation_agree_HeLa	differential_combn_vs_single_HeLa	pval1_combn_vs_single_HeLa	pval2_combn_vs_single_HeLa	fdr1_combn_vs_single_HeLa	fdr2_combn_vs_single_HeLa	significant_combn_vs_single_HeLa
AADAC	AADACL2	16	16	-0.0660172920872002	0.355898051398343	0.049213791481979	0.0489511626360069	TRUE	-0.138547248846464	0.0573781596715137	0.0573781596715137	1	1	NA	16	16	0.1871401014691	1.04308310495224	0.283599223376976	0.131375614540288	TRUE	-0.0905782291292384	0.567822924751461	0.567822924751461	1	1	NA
AADACL3	AADACL4	16	16	-0.148461290445775	0.193904139688449	0.0517544786570525	0.0202655865424295	TRUE	-0.0590291550367774	0.471555662652539	0.471555662652539	1	1	NA	16	16	0.0986319911472537	0.682729363348661	0.175052596653953	0.0947488513658812	TRUE	0.167743579378778	0.102673832040933	0.102673832040933	1	1	NA
ABCC1	ABCC3	16	16	-0.209172976305447	0.0346963288867104	0.041546545756034	0.0540689492582061	TRUE	0.0452087218446129	0.578685934148706	0.578685934148706	1	1	NA	16	16	-0.807343006581435	-0.0948450914963083	0.226418445414532	0.146408448424008	TRUE	-0.000839079749892762	0.993743397508534	0.993743397508534	1	1	NA
ABCC8	ABCC9	16	16	0.0814189548030703	0.446093794993233	0.0556581689355614	0.0749026038040161	TRUE	-0.0811076586307356	0.314669011460851	0.314669011460851	1	1	NA	16	16	-0.074059086982766	0.574617114981088	0.277442061520316	0.560526651879729	TRUE	0.0869809275473147	0.517383468002562	0.517383468002562	1	1	NA
ABCD1	ABCD2	16	16	-0.107762097899838	0.058735267947932	0.0738690682761126	0.0830744540378008	TRUE	0.124369775353165	0.120409931137943	0.120409931137943	1	1	NA	16	16	-0.36244659090762	0.347328060113548	0.365587136652232	0.371006361747823	TRUE	0.023932763896494	0.839140146530427	0.839140146530427	1	1	NA
ABCG1	ABCG4	16	16	0.0355382788935322	0.105736096340104	0.0495993821808269	0.02028406921843	TRUE	0.210572643714672	0.0118357605754143	0.0118357605754143	0.486156190065856	0.486156190065856	NA	16	16	0.12577445661886	0.640503954645591	0.139225899086301	0.241868132846646	TRUE	0.22701103544121	0.0254870318145934	0.0254870318145934	0.77498491849903	0.77498491849903	NA
ABHD4	ABHD5	16	16	-0.217343920812799	0.00490249438044343	0.0846481742817403	0.0775375075834359	TRUE	0.0732336005970371	0.370786656092597	0.370786656092597	1	1	NA	16	16	-0.336622360775179	0.441109581760564	0.336723621077299	0.131444800946856	TRUE	-0.0444599735085195	0.747441645571669	0.747441645571669	1	1	NA
ABI1	ABI2	16	16	-0.208693499018381	-0.133456059530097	0.288950584714679	0.160649001287826	TRUE	0.237138908241204	0.0336810372954613	0.0336810372954613	1	1	NA	16	16	-0.341392575038645	0.422532750592853	0.221944438788556	0.0837201659995793	TRUE	-0.0349011424220207	0.776229141778354	0.776229141778354	1	1	NA
ABL1	ABL2	16	16	0.00414550244137904	0.156639078069524	0.11596026398115	0.0902310130970678	TRUE	0.131562131237518	0.203042364987392	0.203042364987392	1	1	NA	16	16	-0.480408299747881	0.0222358464682831	0.539594205151381	1.27748902776841	TRUE	0.276918181414023	0.0548429996018664	0.0548429996018664	1	1	NA
ACACA	ACACB	16	16	-0.720720870176869	-0.381268658029817	0.141488244358481	0.142407618050946	TRUE	-0.0154272940248493	0.887505073511662	0.887505073511662	1	1	NA	16	16	-1.81309365660905	-0.677547173097019	0.456556524418102	0.459175824889446	TRUE	-0.363022624814357	0.0273346755350895	0.0273346755350895	0.810663273975513	0.810663273975513	NA
