gene1	gene2	n_combn_A375_D14	n_single_A375_D14	mean_combn_A375_D14	mean_single_A375_D14	var_combn_A375_D14	var_single_A375_D14	orientation_agree_A375_D14	differential_combn_vs_single_A375_D14	pval1_combn_vs_single_A375_D14	pval2_combn_vs_single_A375_D14	fdr1_combn_vs_single_A375_D14	fdr2_combn_vs_single_A375_D14	significant_combn_vs_single_A375_D14	n_combn_MEWO_D14	n_single_MEWO_D14	mean_combn_MEWO_D14	mean_single_MEWO_D14	var_combn_MEWO_D14	var_single_MEWO_D14	orientation_agree_MEWO_D14	differential_combn_vs_single_MEWO_D14	pval1_combn_vs_single_MEWO_D14	pval2_combn_vs_single_MEWO_D14	fdr1_combn_vs_single_MEWO_D14	fdr2_combn_vs_single_MEWO_D14	significant_combn_vs_single_MEWO_D14	n_combn_RPE_D14	n_single_RPE_D14	mean_combn_RPE_D14	mean_single_RPE_D14	var_combn_RPE_D14	var_single_RPE_D14	orientation_agree_RPE_D14	differential_combn_vs_single_RPE_D14	pval1_combn_vs_single_RPE_D14	pval2_combn_vs_single_RPE_D14	fdr1_combn_vs_single_RPE_D14	fdr2_combn_vs_single_RPE_D14	significant_combn_vs_single_RPE_D14	n_combn_A375_D28	n_single_A375_D28	mean_combn_A375_D28	mean_single_A375_D28	var_combn_A375_D28	var_single_A375_D28	orientation_agree_A375_D28	differential_combn_vs_single_A375_D28	pval1_combn_vs_single_A375_D28	pval2_combn_vs_single_A375_D28	fdr1_combn_vs_single_A375_D28	fdr2_combn_vs_single_A375_D28	significant_combn_vs_single_A375_D28	n_combn_MEWO_D28	n_single_MEWO_D28	mean_combn_MEWO_D28	mean_single_MEWO_D28	var_combn_MEWO_D28	var_single_MEWO_D28	orientation_agree_MEWO_D28	differential_combn_vs_single_MEWO_D28	pval1_combn_vs_single_MEWO_D28	pval2_combn_vs_single_MEWO_D28	fdr1_combn_vs_single_MEWO_D28	fdr2_combn_vs_single_MEWO_D28	significant_combn_vs_single_MEWO_D28	n_combn_RPE_D28	n_single_RPE_D28	mean_combn_RPE_D28	mean_single_RPE_D28	var_combn_RPE_D28	var_single_RPE_D28	orientation_agree_RPE_D28	differential_combn_vs_single_RPE_D28	pval1_combn_vs_single_RPE_D28	pval2_combn_vs_single_RPE_D28	fdr1_combn_vs_single_RPE_D28	fdr2_combn_vs_single_RPE_D28	significant_combn_vs_single_RPE_D28
AARS	AARS2	25	25	-1.2945277093952	-1.06549019516772	1.29942259504683	0	TRUE	0.902655819265734	0.000295632758108543	0.000295632758108543	0.00543778260704027	0.00543778260704027	NA	25	25	-0.826462363278214	-0.512880917286253	0.901299360638172	0	TRUE	0.505611301816606	1.67527234093475e-05	1.67527234093475e-05	0.00038360454332957	0.00038360454332957	NA	25	25	-1.31280111648188	-0.604358864768629	1.14231377426466	0	TRUE	0.472591011708821	0.0195996102294303	0.0195996102294303	0.248350993085689	0.248350993085689	NA	25	25	-1.85427916991636	-2.20831433477059	0.788767971957962	0	TRUE	0.810414670360126	0.00219622940212862	0.00219622940212862	0.0431827885254062	0.0431827885254062	NA	25	25	-1.45839713888168	-1.35800319044942	1.22048189168992	0	TRUE	1.039056371857	5.89384225991845e-06	5.89384225991845e-06	0.000215948466278266	0.000215948466278266	NA	25	25	-2.63592064740498	-3.40182021580788	0.629844453367253	0	TRUE	0.0690834926027598	0.732831542988535	0.732831542988535	1	1	NA
ABCB6	ABCB7	25	25	-0.0970033078288947	0.557529048838463	0.0511821055564573	0	TRUE	-0.278091728831046	1.44061714056214e-09	1.44061714056214e-09	1.44430245023922e-07	1.44430245023922e-07	NA	25	25	0.0113181022582633	0.27112229618865	0.0233368148085436	0	TRUE	-0.0567649994068518	0.010252610322659	0.010252610322659	0.130093777212531	0.130093777212531	NA	25	25	-0.452293020134141	0.542650955085323	0.11587022361465	0	TRUE	-0.230285603094778	9.71799649767559e-06	9.71799649767559e-06	0.000308919842028254	0.000308919842028254	NA	25	25	-0.12411856215948	0.590605144931628	0.124311929664997	0	TRUE	-0.235319244316618	0.000818426028021174	0.000818426028021174	0.0191946763582899	0.0191946763582899	NA	25	25	-0.140744962018727	0.376536619934361	0.0528969118354192	0	TRUE	-0.076802316208937	0.0474043213196458	0.0474043213196458	0.571311566064737	0.571311566064737	NA	25	25	-1.56812163333093	-1.67939975972522	0.188460042824012	0	TRUE	-0.181008288054374	0.0131086854444181	0.0131086854444181	0.180929192702757	0.180929192702757	NA
ABCF1	ABCF3	25	25	-0.339590666520974	0.11924220447832	0.188439212519909	0	TRUE	0.194120809553377	0.000430339668864436	0.000430339668864436	0.0076982527864044	0.0076982527864044	NA	25	25	0.00309840167155427	0.216177388880072	0.0377058016921411	0	TRUE	0.0119912973230435	0.639713077479306	0.639713077479306	1	1	NA	25	25	-0.625806803943543	0.277664246645989	0.31529151900452	0	TRUE	0.0496238654075027	0.442965569518084	0.442965569518084	1	1	NA	25	25	-0.798584028908962	-0.340484783289684	0.405511336444092	0	TRUE	0.544490886122258	9.02816013435702e-08	9.02816013435702e-08	1.10044626622066e-05	1.10044626622066e-05	NA	25	25	-0.317150178617099	0.129106391797995	0.232228157702799	0	TRUE	0.0655464011224929	0.402112621976814	0.402112621976814	1	1	NA	25	25	-1.84905715066968	-2.34522265215677	0.350015518657091	0	TRUE	0.375713899652433	0.00093640214233523	0.00093640214233523	0.0195649383586968	0.0195649383586968	NA
ABHD12	ABHD12B	25	25	-0.0240806983685684	0.51229505206389	0.0637703634549452	0	TRUE	-0.169477919679835	2.93045295493801e-05	2.93045295493801e-05	0.000711046284417926	0.000711046284417926	NA	25	25	0.0254413175033758	0.218781317223057	0.027610776340782	0	TRUE	0.0230323800529582	0.309220328505912	0.309220328505912	1	1	NA	25	25	-0.587930158875776	0.361818452066183	0.301345913106209	0	TRUE	-0.050859108295405	0.426293283395417	0.426293283395417	1	1	NA	25	25	0.0708978329387363	0.670753504974768	0.0950709636537588	0	TRUE	-0.159673895318012	0.00717631713232969	0.00717631713232969	0.116290487291997	0.116290487291997	NA	25	25	0.0379252033706235	0.51446441105895	0.0288831031254802	0	TRUE	-0.134661126492081	6.78306420161662e-06	6.78306420161662e-06	0.000243636960978805	0.000243636960978805	NA	25	25	-1.58643913783119	-1.9503016907014	0.30713800128093	0	TRUE	0.13757128162354	0.120270450816336	0.120270450816336	1	1	NA
ABL1	EGFR	25	25	0.254976802077676	0.706458900255817	0.0346966387826471	0	TRUE	-0.256272787079671	4.66670059832991e-10	4.66670059832991e-10	5.91327947067292e-08	5.91327947067292e-08	NA	25	25	-0.0204625844201687	0.352262129760438	0.0159647605578727	0	TRUE	-0.18721435131562	4.00010439689081e-11	4.00010439689081e-11	4.25391536018658e-09	4.25391536018658e-09	NA	25	25	0.0613440031776625	1.0131010142034	0.126737550611927	0	TRUE	-0.563661596703524	8.36790845580307e-11	8.36790845580307e-11	1.5904742625404e-08	1.5904742625404e-08	NA	25	25	0.420235710255628	0.992526986590298	0.0327965263900304	0	TRUE	-0.278447484487616	3.2382969123938e-08	3.2382969123938e-08	5.1831380083158e-06	5.1831380083158e-06	NA	25	25	-0.0568692070551444	0.510366427133303	0.0546559156053376	0	TRUE	-0.193772033263784	3.09753497099437e-06	3.09753497099437e-06	0.000122868157237851	0.000122868157237851	NA	25	25	-1.02150242972553	-0.937370621842125	0.207349786906665	0	TRUE	-0.765846516000591	1.77573275651349e-11	1.77573275651349e-11	6.00018726049577e-09	6.00018726049577e-09	NA
ABL1	ABL2	25	25	-0.00621398299962605	0.523429153535242	0.0993474914727076	0	TRUE	-0.173014078239317	0.000216504589066662	0.000216504589066662	0.00416715569543726	0.00416715569543726	NA	25	25	-0.0420838325597127	0.275951968216864	0.0298533646950088	0	TRUE	-0.0980854433540223	0.000216878531695232	0.000216878531695232	0.00391036241624	0.00391036241624	NA	25	25	0.217620958756656	1.09526822968318	0.220755016800084	0	TRUE	-0.519344419203856	8.58439175066992e-08	8.58439175066992e-08	5.3277416414046e-06	5.3277416414046e-06	NA	25	25	0.035490925737319	0.85008810406932	0.149218888166566	0	TRUE	-0.406808600195955	9.15339880438947e-07	9.15339880438947e-07	6.47356684561197e-05	6.47356684561197e-05	NA	25	25	0.00340654694678009	0.480541277234713	0.0480552287237495	0	TRUE	-0.111035280926745	0.00087478051531978	0.00087478051531978	0.0175666509663832	0.0175666509663832	NA	25	25	-0.31347459230981	-0.47781436155059	0.265952093897157	0	TRUE	-0.530244544873851	5.66471900884826e-05	5.66471900884826e-05	0.00182970722260943	0.00182970722260943	NA
ABTB2	BTBD11	25	25	-0.23745477059786	0.138560984035234	0.150139602932248	0	TRUE	0.21972695099143	5.70140505725414e-05	5.70140505725414e-05	0.00129714488248883	0.00129714488248883	NA	25	25	0.0415425843180512	0.12278981309101	0.0474697205719692	0	TRUE	0.162926603838676	2.78171682959021e-06	2.78171682959021e-06	7.88148419422379e-05	7.88148419422379e-05	NA	25	25	-0.794850166007864	-0.11070147148094	0.330662878152564	0	TRUE	0.476037350381212	7.44795542978089e-07	7.44795542978089e-07	3.28259789160689e-05	3.28259789160689e-05	NA	25	25	-0.17483661866041	0.313202032846958	0.172051365462475	0	TRUE	0.0448549718649518	0.522506033557157	0.522506033557157	1	1	NA	25	25	-0.0229514173903088	0.243009234378435	0.0491769511312377	0	TRUE	0.182948473097755	7.73501546480911e-06	7.73501546480911e-06	0.000273522113115359	0.000273522113115359	NA	25	25	-1.65855526124257	-2.14992912634116	0.39485299451692	0	TRUE	0.315772431380275	0.00332508149543798	0.00332508149543798	0.0573452677182528	0.0573452677182528	NA
AC007040.11	TEX261	25	25	-0.281560385206683	0.326615014528206	0.111475876895693	0	TRUE	-0.0753881435214127	0.0821349281254083	0.0821349281254083	0.86131020213737	0.86131020213737	NA	25	25	-0.00331562525536529	0.179983567219467	0.0390221440227613	0	TRUE	0.0561009109056803	0.0403815521151858	0.0403815521151858	0.452039474566706	0.452039474566706	NA	25	25	-0.419959573585245	0.409541920165094	0.240590526308796	0	TRUE	-0.0193657507222231	0.735804060485134	0.735804060485134	1	1	NA	25	25	-0.301732102976913	0.234180667814552	0.19181899147264	0	TRUE	0.0538845401287914	0.420868356888977	0.420868356888977	1	1	NA	25	25	0.0155035450937128	0.310603474029606	0.0574910301859151	0	TRUE	0.119188475184226	0.00225719544358988	0.00225719544358988	0.0406976760665524	0.0406976760665524	NA	25	25	-1.35960950869274	-1.52492613018942	0.375621290627661	0	TRUE	-0.236616999776311	0.00980890097084064	0.00980890097084064	0.141821460452036	0.141821460452036	NA
ACACA	ACACB	25	25	-0.21688524080035	0.489667897316791	0.0414971638440841	0	TRUE	-0.261371724054169	1.03178880030632e-09	1.03178880030632e-09	1.13413219656981e-07	1.13413219656981e-07	NA	25	25	-0.0679979883496888	0.184282614956302	0.0306782483629326	0	TRUE	0.00865864796600504	0.715830156244793	0.715830156244793	1	1	NA	25	25	-0.678512528231705	0.460297541720163	0.182304922099837	0	TRUE	-0.239355122355071	6.88193779087657e-05	6.88193779087657e-05	0.0016923406857768	0.0016923406857768	NA	25	25	-0.297582347007642	0.451128732680075	0.0687092867649336	0	TRUE	-0.228015861116338	9.7384947046165e-05	9.7384947046165e-05	0.00315060303282828	0.00315060303282828	NA	25	25	-0.159405002338673	0.275057952545515	0.08283983374549	0	TRUE	0.0253082214806392	0.581757335093492	0.581757335093492	1	1	NA	25	25	-1.63675610334117	-2.08942388502493	0.139894259825467	0	TRUE	0.278613660499376	0.000218694707736504	0.000218694707736504	0.005588831550691	0.005588831550691	NA
ACE	CTD-2501B8.1	25	25	-0.344806530075536	0.000443998313146989	0.253491294336574	0	TRUE	0.344670553505764	6.86603330344018e-06	6.86603330344018e-06	0.00019514248711517	0.00019514248711517	NA	25	25	-0.512632237064786	-0.221018140346785	0.195414606679344	0	TRUE	0.246228098590574	1.76619535728882e-05	1.76619535728882e-05	0.000401832749326901	0.000401832749326901	NA	25	25	-0.781400375651325	-0.0984297774155667	0.343557807637394	0	TRUE	0.461429366429919	8.98893889224701e-06	8.98893889224701e-06	0.000287749468855176	0.000287749468855176	NA	25	25	-0.243054480887149	0.128877425180008	0.243160289953006	0	TRUE	0.223797862844683	0.00314725738578672	0.00314725738578672	0.0581241045223172	0.0581241045223172	NA	25	25	-0.677408538227322	-0.313279875015985	0.25607107767306	0	TRUE	0.354846483624215	1.25093142025576e-05	1.25093142025576e-05	0.000416518121287293	0.000416518121287293	NA	25	25	-1.59763656706739	-1.41502807006482	0.475757422665422	0	TRUE	-0.552501748363758	5.10283052476371e-06	5.10283052476371e-06	0.000251646201329561	0.000251646201329561	NA
