"paralog_pair","GI_score_A549","GI_score_HT29","GI_score_OVCAR8","fdr_A549","fdr_HT29","fdr_OVCAR8","p_val_A549","p_val_HT29","p_val_OVCAR8"
"ABHD4_ABHD5",-0.353219209265987,-0.384606248226501,-0.132165015239962,0.119263083457169,0.0625134734583111,0.561874398980244,0.0606673253318104,0.0407966340435132,0.443364910361582
"ABL1_ABL2",-0.0202759484793168,-0.152443697218358,0.0449353301848095,0.820584396630461,0.0625500482259009,0.640557294633117,0.753390140826975,0.0409757139742874,0.522936352194281
"ABR_BCR",0.304671080611984,-0.0735829364418647,0.270024176643649,0.337890248895487,0.787840703423504,0.111365680828825,0.243985266572175,0.768291306316221,0.0569263777933946
"ACAP2_ACAP3",0.812392017127839,0.279207652895689,0.528651601874854,2.25390353450571e-05,0.00601123567261601,0.000144634339387393,1.41063450757283e-06,0.0028159628731796,1.75858129776235e-05
"ACTG1_ACTR1B",-0.167492645687976,0.0744614057874252,0.51813728189243,0.58936018838598,0.766604216327338,0.0126875215834589,0.49283966125577,0.736462863939716,0.00396681816257027
"ACVR2A_ACVR2B",0.303238579349293,0.108868517189403,-0.0523669780078612,0.191907358837846,0.196878946450507,0.79829753359381,0.110477685484815,0.153888010252878,0.715220801408255
"AGAP1_AGAP3",0.0615749062507097,-0.0789089091530287,0.00234323625029513,0.667163412020578,0.541694193215517,0.979528127969862,0.576111333456976,0.490616328842838,0.979528127969862
"AGAP1_AGAP9",-0.730833584332335,-0.682179775258064,-0.419763658713331,0.143094812653191,1.9026783526236e-05,0.000586655901242684,0.0763409050134888,2.78555887853084e-06,9.42754337636149e-05
"AKT1_AKT2",-0.137077161911944,-1.00746188294594,0.113862281388962,0.401332080834872,0.00601123567261601,0.258134731276861,0.296766650344397,0.00281916511693406,0.162458223851419
"ALG10_ALG10B",-0.242645006826947,-0.610748698035896,-0.278202738242916,0.116194301604066,0.000141937705945038,0.244551469262355,0.0581092436476301,3.34592607066466e-05,0.148157148129021
"ANKRA2_RFXANK",-0.159713028698067,-0.124300561963393,0.168845754753747,0.289279803656397,0.447178254448806,0.19871671591896,0.199552817410616,0.387258587599587,0.114890805977959
"ANKRD13A_ANKRD13D",-0.853002057261259,-0.377447124569837,-0.129338690507394,2.32049029581038e-07,0.000401544944809293,0.198536319047901,3.45482426175243e-09,0.000118570343504481,0.11429386108961
"ANXA11_ANXA7",0.463106253599005,0.105407797420169,0.103950380663692,0.00161306895529749,0.380437891634242,0.293687196494488,0.000272180369628361,0.318132926751215,0.190474254565914
"AP1B1_AP2B1",-0.588691087799866,-1.79024423084988,-1.06366041176942,0.00487530091336146,3.56147385081913e-10,7.53954036890696e-08,0.0011008743997913,4.41870204816269e-12,3.18045127224363e-09
"AP2A1_AP2A2",-0.32587644949562,-1.43588001482212,-0.517369542141871,0.238967801789985,0.000518779190051162,0.0274794397562429,0.151207914283986,0.000158337072894027,0.0109099512679872
"AP3M1_AP3M2",-0.336599566384097,-0.771385836327176,-0.341242553043786,0.00370036584920156,1.21077319931619e-05,0.00266278665079819,0.000789656235809761,1.57708531818726e-06,0.000594666993974782
"AP3S1_AP3S2",-0.194943535004881,-0.408239245862151,-0.219093851723983,0.0537971464511022,6.01870213171193e-06,0.00227585677752512,0.0214921602447331,6.42194023979188e-07,0.000474372132288114
"APPL1_APPL2",-0.06026571442854,-0.231131723106337,-0.183062397891643,0.701086435834675,0.000563799939322313,0.0139502731416949,0.619285079225853,0.000180498909327732,0.00456932023499685
"ARFGEF1_ARFGEF2",-1.20652973180213,-1.67987911374745,-1.92993306386068,7.10188807634934e-05,5.09746480761041e-06,1.2174841363069e-05,6.69656940201675e-06,5.18600637995103e-07,9.36526258697615e-07
"ARFIP1_ARFIP2",-0.0204200598332326,-0.178317690680093,0.0664838216557125,0.888323017121261,0.0480611300123176,0.30007371017876,0.848646058540162,0.0300531135560894,0.20029734004488
"ARHGEF3_NET1",-0.0704434438532225,-0.201036681790633,-0.0212512569464086,0.712097883477369,0.126318226848192,0.838242689180705,0.634350223742868,0.0918536114127647,0.771682475647745
"ARID1A_ARID1B",-0.457208478030225,-0.414118254116814,-0.531742969233032,0.00140151980378255,0.0122690147524754,8.87704859203765e-05,0.000218249862414396,0.0064846157376607,9.60371101076449e-06
"ARL8A_ARL8B",-0.76066119036415,-0.294070546600906,-0.239540742378572,4.63039031137755e-05,0.0177938366968974,0.0256584108507185,3.67673672367448e-06,0.00997867765136179,0.00999595658452308
"ARPC1A_ARPC1B",-1.30605111699158,-1.27527310494827,-0.725742309963529,0.000116162639732852,0.000241904455964376,0.00125159860914848,1.21062800714138e-05,6.60285115535518e-05,0.000223610669624542
"ARPC5_ARPC5L",-0.589094972067913,-0.938149150704017,-0.115489078054153,0.0152109224380031,0.000110380945128655,0.359809920011382,0.0047180280514898,2.437693329144e-05,0.251777661149403
"ARPP19_ENSA",-0.988344728368119,-1.05030330185168,-1.0094408824156,0.0137542052546856,7.13037512489986e-05,0.000220484249634963,0.00409554498898827,1.46853879743595e-05,2.95437952364466e-05
"ASAP1_ASAP2",0.106093901122038,-0.010475021006561,0.0618808121138978,0.336018844294343,0.930209940382137,0.720795163636909,0.240132573590002,0.925593513879,0.61348074721454
"ASIC1_ASIC3",0.445118113105743,-0.0601425545466041,-0.0326006963904512,0.00151531822738866,0.566304587131603,0.795056234714524,0.000248166260564892,0.519932251212638,0.71022393175491
"ATAD2_ATAD2B",-0.247910878825287,-0.591861836076591,-0.209943303881263,0.0902308889274376,1.99846760106725e-05,0.0392277026979798,0.0405255357217524,3.02497577332759e-06,0.0167423445758127
"ATAD3A_ATAD3B",0.957787356520954,0.163795356704081,1.23941250079189,7.61772322327776e-05,0.39098149338284,9.80978767159757e-06,7.37199021607525e-06,0.330830494400865,7.05915241876748e-07
"ATF1_CREB1",-0.112408841022135,-0.340819821790913,-0.294796588794353,0.475116529100721,0.000178989699142161,0.00312856771135649,0.369011100765572,4.53026037531028e-05,0.000745266750099809
"ATF1_CREM",-0.312746551127674,-0.184890033724493,-0.0779307610118531,0.0102168583423537,0.046156471156117,0.365157067703033,0.00276704959288521,0.0285185144364097,0.257331531582287
"ATF2_ATF7",0.156509376664095,-0.0338467143760472,0.0425749438608836,0.188894623043311,0.698000337821192,0.662730284354337,0.107805864267894,0.66509213330853,0.547615842903212
"ATP6V0A1_ATP6V0A2",-0.963577192810314,-1.89971476499931,0.0568670671214948,2.25390353450571e-05,2.08789547131758e-07,0.754580968230694,1.45413131258433e-06,9.99313902538476e-09,0.651598453956034
"B4GALT1_B4GALT2",-0.192001274364514,-0.232642482318241,0.0912171050870592,0.0618857255224681,0.0703815596258787,0.363565054304497,0.0254602556541718,0.0469792544401027,0.25530746989621
"BCL2L1_MCL1",-0.122581262338894,-1.07787797999124,-1.00676665501871,0.648937870752543,0.00229596209893776,0.00234143205009823,0.552321810590874,0.000900153875017781,0.000506596277356585
"BICD1_BICD2",-0.146528866928083,-0.288717674192754,-0.0841683566956716,0.238967801789985,0.0102135330917328,0.488165843525527,0.150616561374951,0.00517012593229152,0.373089528054249
"BRCA1_PARP1",0.204056712391329,-0.218949611888153,-0.326406082328715,0.279676357971756,0.0698374912660761,0.0348301583539651,0.187376219981078,0.0464427981620556,0.0146061954387595
"BRWD1_PHIP",0.0675152141101436,-0.383067204179423,-0.217191443046162,0.683859379730355,0.000592021014139674,0.00266278665079819,0.592225616689564,0.000196850659788378,0.000593732762143293
"BTBD1_BTBD2",-0.225588673610302,-0.596741969878596,0.0243243631642694,0.257981901956723,1.16461358722864e-05,0.910666961453928,0.167720243952014,1.41603140878916e-06,0.858693412785341
"BTN2A1_BTN2A2",0.503296228237255,-0.16197605093156,-0.203852071014158,0.00902063823609022,0.080086787818787,0.0103468121001567,0.00228313920615683,0.0540536136146651,0.00295256424694297
"BTN3A1_BTN3A3",-0.177108066759104,-0.376540827296605,-0.237138774533988,0.44025641704787,0.0322688277611391,0.152703858465611,0.332104096234622,0.0192171678974526,0.0829829900842897
"CAMKK1_CAMKK2",-0.169194744526064,-0.26847102797954,-0.338035271680274,0.116194301604066,0.00291072719797818,0.000497535970942871,0.0582413124665541,0.00120618223836813,7.65439955296725e-05
"CAPZA1_CAPZA2",-1.7460501405359,-1.9776427052004,-1.7144849122985,2.47984636801924e-06,1.37239876437019e-09,1.24185408476277e-08,9.23019739957534e-08,3.40545599099303e-11,3.3896761618835e-10
