"paralog_pair","GI_score_Meljuso","GI_score_GI1","GI_score_PK1","GI_score_MEWO","GI_score_HS944T","GI_score_IPC298","GI_score_A549","GI_score_HSC5","GI_score_HS936T","GI_score_PATU8988S","GI_score_MEL202","fdr_Meljuso","fdr_GI1","fdr_PK1","fdr_MEWO","fdr_HS944T","fdr_IPC298","fdr_A549","fdr_HSC5","fdr_HS936T","fdr_PATU8988S","fdr_MEL202","p_val_Meljuso","p_val_GI1","p_val_PK1","p_val_MEWO","p_val_HS944T","p_val_IPC298","p_val_A549","p_val_HSC5","p_val_HS936T","p_val_PATU8988S","p_val_MEL202"
"A3GALT2_ABO",-0.119311257100885,-0.160639968319743,-0.134755003590799,0.127386478591318,-0.156777527405876,-0.0105823144110838,0.287052448910594,-0.047000258770218,0.0745621941640275,-0.103760234696262,0.0764268318664047,0.00581331689186255,0.435160251997904,0.630066462988284,0.128320399972552,0.177881036149366,0.957976378033864,0.000152998978294263,0.425543967025684,0.597957918223665,0.134035858213414,0.17373227578297,0.00304381370132665,0.270150806119394,0.469097854280123,0.0899889557161902,0.0991427769101009,0.933482138727823,2.5283345475281e-05,0.324808090132536,0.439461990256034,0.0829355142430085,0.126226016758407
"A3GALT2_GBGT1",-0.0841771449093101,0.0292242739472114,-0.160312615672974,0.116434127714669,-0.0942085644007764,-0.226879486002281,0.2123793936501,0.125183790375536,0.0487775419722463,0.0282058348456437,0.142476070034388,0.223233029481903,0.91614992980667,0.467389219296677,0.124569595220011,0.54556595664923,0.221902326016267,0.00855184513819504,0.439656224568025,0.742197767768419,0.792458402102212,0.062912311934658,0.172856849284901,0.853746825012336,0.304056757666841,0.0871126369732041,0.419864975127088,0.125038551241329,0.00317422879759263,0.337836530309725,0.615156376196018,0.733160922458236,0.0393000108511862
"A3GALT2_GLT6D1",-0.128699277551445,-0.147685687684573,-0.203141775766857,-0.0357058031760435,-0.0581996711049812,0.0436688274498576,0.0693765164772144,-0.0495281574231639,-0.0322550550562147,-0.00159018924689709,0.0251051009525497,0.0441651408016769,0.479803941102317,0.380353820821411,0.731093604178093,0.416981159704768,0.826569883523116,0.617441142059064,0.647549233353465,0.865066319512919,0.988670553873206,0.679634678930716,0.0283912533959052,0.31345927761255,0.221979446070699,0.680926691514975,0.297114512413526,0.752317307609391,0.532535555035495,0.555243103742172,0.784734446628742,0.983790639984394,0.623009637566696
"ABO_GBGT1",0.0553871811691968,-0.0376059941851598,0.163771736954504,0.0676922091510003,-0.122940105630535,-0.160528013235321,0.0731477100131523,0.0520662700162469,0.225335163916237,-0.0460583480088902,0.105256882945427,0.37299260171628,0.885365813754796,0.384571312715074,0.188077811583688,0.255037504295057,0.202295301040218,0.180503466603094,0.706863885615053,0.165287533389686,0.647450468292129,0.0296548777212545,0.310544876887967,0.80314390849464,0.225959373472865,0.139387009149142,0.156788181388888,0.111312340374944,0.117068882091049,0.621454073572326,0.0652551921353251,0.565384683367441,0.0168678583839949
"ABO_GLT6D1",-0.110726953496503,-0.237108904569865,-0.0456214867328748,-0.161182801486042,-0.268578203038504,0.203471381545055,0.00408152433806635,-0.131289463421006,0.25711326660054,-0.178266267630146,-0.120404890706666,0.0678737742124894,0.350111955227855,0.879273042751435,0.049945055914942,0.0331096602316895,0.07166925256298,0.976089331081573,0.322167664575081,0.0259643227683017,0.0977310662738642,0.0406727550620368,0.04580058100662,0.194099579522175,0.794557298454752,0.0309235331390441,0.0117991977725962,0.028540351909088,0.967801143147928,0.225676381818832,0.00470534613331642,0.0570950098922733,0.0239780546130784
"GBGT1_GLT6D1",-0.0782606365665187,-0.137469944623237,-0.0177283152522911,-0.0952837276957478,-0.0246078872339577,-0.170271860186491,-0.199706164417988,0.073595618415344,0.178943549219999,-0.0766144436837681,-0.0771118769642462,0.209568531080012,0.458096499026009,0.9630278212705,0.339721500264942,0.853875457308876,0.328553227655023,0.193054824216698,0.732485322533671,0.275920577065646,0.572049450461939,0.126881899493888,0.1607036870118,0.292039318131399,0.937841956426368,0.276136903571721,0.775821294083998,0.209132399992062,0.12749622645703,0.650053608053081,0.140711322914228,0.483040955797195,0.0878779276257766
"ACACA_ACACB",0.155759337147339,-0.210338017952839,0.524391508043578,0.219848144513594,0.301492948499812,0.588661973503837,0.185602119794659,0.551282381802724,0.468021208462903,0.195462689845165,0.0947440144614917,0.0902441968356524,0.445765000192944,0.0389050039649691,0.0164464761259168,0.00405137260441611,0.0718759306730229,0.106548205439533,0.00403785985273687,0.132865910610612,0.114316582215076,0.207859966238156,0.0630283535776029,0.280580278258861,0.00768536940763528,0.0086859474110222,0.000827322674743776,0.0286510373205989,0.0621618849109221,0.00107702836348421,0.0472441273464389,0.0684863821120437,0.155084464445013
"ATP7A_ATP7B",0.196642798715906,0.162016797905765,0.162121940286433,0.230957584051028,0.115573522721211,0.451538707911572,0.234946009753809,0.556320977941269,0.406377283988712,0.391387695275904,0.312725786145668,0.0117080513564807,0.31531199321787,0.547651679841154,0.00532154025448632,0.096210560778526,0.126477677290535,0.0204170605438241,0.000241247853240464,0.178105967107089,0.00267398173144708,0.00880784731687958,0.00657869973554672,0.165904533450271,0.380815245093888,0.00238182265684511,0.0456644004168957,0.0597307913697473,0.00886821978211511,2.99118759792717e-05,0.0730150605575043,0.000806984026579098,0.00419611758650157
"ATP9A_ATP9B",0.0399926575233853,0.544914866551482,0.701360938999699,0.288174251245706,-0.000942683660612438,0.574489870145612,0.165055620274351,0.144923853044527,0.530345445777042,0.340651266858074,0.540703075290059,0.628510506196626,0.040041633464257,0.0373618716583,0.00384745430139111,0.996865057229561,0.00385651295097571,0.129297910806069,0.481224951601348,0.0559710263640313,0.0200629083897385,0.00021977432400045,0.571530657692955,0.00792250574120155,0.00727320936921695,0.00164456832428662,0.99391284087054,0.000599986615077761,0.0785487999112094,0.379089349830085,0.0139383853129873,0.00885742723054636,5.76229619491802e-05
"ATRN_ATRNL1",0.22235160284087,0.0857782023225597,0.364811316107946,0.31711053512115,0.298655211290033,0.949647438153249,0.404835144533085,0.139529726909313,0.696837039540847,0.24420107267133,0.157911487054825,2.48643130604626e-06,0.824537907976858,0.121912175379363,0.000125904802952948,0.00615848546972424,0.000770934050600296,4.83235312869219e-05,0.109469667109474,0.000327341054795563,0.0952477791078672,0.0175786673035466,4.20214254289357e-07,0.715304949190585,0.0423623748603512,3.12214081952423e-05,0.00140435354739023,6.41694873323788e-05,5.371401404647e-06,0.0595833269679914,2.20152035141705e-06,0.0552681584991159,0.00927695512386573
"ATRX_RAD54L",0.248870288515258,0.134125922794063,0.0750491948288617,-0.036315395184632,0.510515265614296,0.313209947935229,0.307827863963547,0.341315185530948,0.776882968665439,0.318580969754056,0.301313020943395,0.00233206469178957,0.597609328554275,0.783227351251338,0.587725208465636,0.00176751432465148,0.22928607660573,0.048329863671577,0.0054921045143147,0.0169251574537182,0.0280424225811442,0.000955487061202729,0.00108614819505066,0.43430165306897,0.657818193923631,0.524949426080659,0.000281615806514065,0.130736068951106,0.0246754249663767,0.00157660808762361,0.00245606924550501,0.0130827728646088,0.000323337576091111
"ATXN1_ATXN1L",0.0210923469329843,-0.209009574668484,0.428146906830672,0.15512286005904,0.173648101247664,0.0500290012790328,0.0592948869408991,0.126917212817932,-0.0877829843002368,0.139319967308573,-0.0187005611349014,0.687425704555371,0.320872864906459,0.0642636189729098,0.009991448983908,0.105924306616505,0.819704155626481,0.554546626662983,0.0869002331075757,0.748262826017154,0.080546404018761,0.816814520245955,0.635580370075578,0.170857673574081,0.0157582260146799,0.00491188706217787,0.0512368314334528,0.742507930111411,0.465171680248885,0.0445567434117224,0.624020173168107,0.045290455803639,0.775046512201788
"ATXN3_ATXN3L",0.226374588599608,-0.0838318512824326,-0.07526991267762,0.270402408502627,0.0847181964788657,0.3675926639794,0.280507350728316,0.340674186950056,0.196843826079746,0.290865709640246,0.219950505000059,0.000158426830691958,0.620799287554029,0.774455301916563,0.000476436522231036,0.516854303707205,0.00514503548634852,0.000192666098646559,0.000923050596566971,0.470366964503382,0.00222039372161565,0.00234142246814049,5.40809457584198e-05,0.45913408315447,0.644946192198235,0.000150032823881244,0.390931655972814,0.000890858069403288,3.42906491537004e-05,0.000170577563353738,0.307536370949651,0.000647048594887403,0.000909988221512289
"AUH_ECHDC2",-0.0617483816873524,0.16501812668105,0.183644066405597,0.028190557362889,0.339940434003308,0.0650429815269603,0.246661867182533,0.0350771164214338,-0.154887230609722,0.258075071658507,0.165711903947537,0.0552715291555771,0.318060696256308,0.462180252505294,0.617583024173244,0.00262037551338203,0.761331796700234,0.0358808466852208,0.764467141480162,0.543406042674874,0.0029283284449411,0.0352066944918627,0.0365457751514369,0.167853157175343,0.298843105025634,0.55759272843914,0.000467684000808954,0.665131925054005,0.017384323349562,0.690661725451772,0.380867019051491,0.000900179148819999,0.0204706249315964
"AUH_ECHS1",-0.092227310300164,0.0354768626984015,0.334678760058376,-0.129028932897362,0.101555943427302,0.13149622188457,0.132780836879534,-0.0246169606706404,0.0732620969107937,0.269308707083383,0.10706075752614,0.0441695018908934,0.903460180324602,0.21029304167674,0.073857618263006,0.321525404624597,0.339408257114845,0.381113904041029,0.797525079233507,0.811060436631725,0.0309616915021035,0.192451290692077,0.0284027774252004,0.835463584773884,0.0916736497575996,0.0481503839926239,0.210980962413061,0.218253246480365,0.293453943881543,0.731392693591242,0.706815551291695,0.0146831160884605,0.142068188726096
"ECHDC2_ECHS1",-0.0973528364326611,-0.301566230223044,0.290163236976316,-0.0589611284837368,0.0543083619577845,-0.421822398257232,-0.00643879389744806,0.137103006696324,0.0366751194753137,0.0809198226103221,0.0635298806949306,0.0759836056003121,0.0770811267779717,0.194773609435122,0.38957755071724,0.716677745930352,0.0936306319206767,0.969831157316356,0.318179089926837,0.914814892093862,0.540787062447214,0.556242385712166,0.0520558956432543,0.0208035341175691,0.082793204563439,0.322276394374183,0.607584252917064,0.0404839257465512,0.958534012542089,0.222191400014062,0.860991626971657,0.451100757915001,0.49067936413859
