,HAP1.T12,HAP1.T18
SLC16A1_SLC16A3,-3.079869888968139,-3.1784373639464065
MDM4_TP53,0.6130753435923822,0.908436562049015
APC_CTNNB1,1.7376263011170747,1.463597622036692
BRAF_MAP2K1,-0.00638753080519957,0.24101970085256905
CCNE1_CDK2,1.4108239864877654,1.4792511641029495
BRAF_PEA15,0.2620547757471914,0.44265139064419556
CBFB_RUNX1,1.8269850220327457,1.297523457138689
SMARCA2_SMARCA4,0.24253838609595538,-0.2685741292385557
BRD4_KDM4C,1.1283707921325397,1.795991869357699
BRD4_KDM6B,-0.4740687665910284,-0.9814471785025167
SRRM1_SRRM2,0.617469891128642,0.10460152069165077
TRA2A_TRA2B,0.8497989895623828,1.6209871893812504
PAIP1_PAIP2,0.7420448389368124,1.0545185143163587
EIF4E_EIF4E2,2.2005333966615197,1.9305706192810044
ENO1_ENO2,-2.5744688946559617,-1.9601849554726392
ENO1_ENO3,-0.0005044603673450294,0.10419423030461988
ENO2_ENO3,-0.35749732267534934,-0.0778539018331065
CREBBP_EP300,-0.16916604210675545,0.00828518758369793
BCL2L1_BCL2L2,1.819306185166969,2.414854872127379
BCL2L1_MCL1,5.159389322926156,5.45241737897947
PARP1_PARP2,-0.285134625255228,-0.8951639270821767
MAPK1_MAPK3,-0.11390338165384718,0.426539487042911
MDM2_TP53,1.5980015647233692,1.690310868531325
ABHD12_ABHD12B,1.3332714803529075,0.9341183440498911
ABL1_ABL2,-0.7913153925650827,-1.0749418031994489
DMWD_WDR20,1.529341113939841,1.1296947902420837
HNRNPL_HNRNPLL,1.5240107535126695,-0.14872845341280744
ACBD3_TMED8,-0.41489384966818266,-0.014477529742203862
ACBD7_DBI,-1.451057460520497,-1.5341596102047839
ACSL1_ACSL6,-0.46019979655829535,0.15703821730231274
ACTR1A_ACTR1B,-0.628484140679534,0.18752647812087647
ACVR2A_ACVR2B,-0.3125668069290466,-0.7546195705966249
ADAMTS10_ADAMTS6,-0.85255624156298,-0.12958722804221467
ADAMTSL1_ADAMTSL3,0.04988675206253889,0.12432606696002924
ADAP1_ADAP2,-0.7769055680039917,-0.001716063505752747
ADSS_ADSSL1,-0.6671587576377461,-0.8445729969088211
AGPAT3_AGPAT4,-0.3467761339163757,-0.4488109021333071
AHCYL1_AHCYL2,-0.3827117057171035,-0.1596878391724568
AHNAK_AHNAK2,0.707555832005193,1.1889405484187991
AHSA1_AHSA2,0.10000871539668242,0.26481092863391187
AJUBA_WTIP,0.7421483986037609,0.42721726189720294
AK1_AK5,-1.3009128539153012,-1.0363220686405452
AK3_AK4,0.6447376065254123,0.8084833031063138
ALMS1_C10orf90,-0.7248222584990284,-0.8618429395307514
AMOT_AMOTL2,-0.960760382424142,-1.3834072027264444
ANK2_ANK3,-1.3083020170814608,-1.6447068195956425
ANKRD11_ANKRD12,-0.11894776157758209,-0.5298492844074879
ANO4_ANO5,-0.9414680137364793,-0.8900223793503402
ANXA5_ANXA6,1.753565441277487,0.9744836970856914
AP1B1_AP2B1,-3.332499210060896,-3.193028897689272
AP1G1_AP1G2,0.6858659755541869,0.3080978953752797
AP2A1_AP2A2,-3.9707114606885052,-3.0679174634554123
AP3B1_AP3B2,0.7151342869070239,0.676608375453272
APBA2_APBA3,-1.0050386165560212,-1.1138416152895634
APBB2_APBB3,0.2562772131798062,0.12678682422338597
APH1A_APH1B,-0.4999490529453479,-0.8385648289587735
APLP1_APLP2,-0.2442658672691886,-0.2825519108664745
ARAP2_ARAP3,-0.24500700756430677,-0.40605943532334526
ARF4_ARF5,-0.45253237721171335,-0.856629771846264
ARFGEF1_ARFGEF2,0.31425113764380447,-0.10617230758182922
ARHGAP22_ARHGAP24,0.25668828765737184,0.47094377099787593
ARHGAP31_ARHGAP33,1.1843462417606003,1.1840160430496047
ARHGEF1_ARHGEF12,-0.5551797114388968,-0.8199442248344733
ARHGEF6_ARHGEF7,-1.1366240583027754,-1.463490424722351
ARHGEF37_DNMBP,-0.09113100730960623,-0.18713913745656074
