,PC9
AADAC_AADACL2,-0.8157207130231905
AADACL3_AADACL4,-0.6622630035746969
ABCC1_ABCC3,-0.008251259063212111
ABCC8_ABCC9,-0.3954135927248783
ABCD1_ABCD2,0.6637303562660056
ABCG1_ABCG4,1.3109903931993379
ABHD4_ABHD5,-0.26578938482462605
ABI1_ABI2,0.39346513422434726
ABL1_ABL2,1.2148748508606841
ACACA_ACACB,-0.051768752750923255
ACSL3_ACSL4,-0.664779754643348
ACTA2_ACTG2,1.0341135932454204
ACTL6A_ACTL6B,5.473347443394153
ACTL7A_ACTL7B,-1.414492239584619
ACTRT1_ACTRT2,-0.5046978842054494
ACVR2A_ACVR2B,-0.5447904130876614
ACVR1_ACVRL1,-1.449083236489691
ADAMTS16_ADAMTS18,-0.02158898283548583
ADAMTS10_ADAMTS6,0.06220242418964136
ADAP1_ADAP2,1.3094390096815178
ADARB1_ADARB2,-0.9366824918674073
ADCY5_ADCY6,-0.5454099210653337
ADIPOR1_ADIPOR2,0.38683232141725193
ADSS_ADSSL1,0.3561796954285721
AGPAT3_AGPAT4,-1.036352437092316
AGR2_AGR3,1.1237854774978786
AIF1_AIF1L,0.8605000587044773
AK3_AK4,0.6824710731856269
AKIRIN1_AKIRIN2,-1.9335712965603653
AKR7A2_AKR7A3,0.6835639168088077
ALAS1_ALAS2,1.6985711614709615
ALDH1L1_ALDH1L2,0.3565590791742924
ALG10_ALG10B,-0.6572849153373698
ALG1L_ALG1L2,3.5180989603288393
ALOX12_ALOX15,-0.9002198874611504
AMELX_AMELY,0.12969800268707524
AMMECR1_AMMECR1L,0.08043977832481389
AMPD1_AMPD3,-1.1156704398958095
ANGPT1_ANGPT2,1.091110196235138
ANGPTL1_ANGPTL2,-0.7763118176660856
ANKRD18A_ANKRD18B,0.28333664228007743
ANO1_ANO2,0.8651844201176285
ANO3_ANO4,0.42362901252479646
ANXA1_ANXA2,0.060684301691699166
AOC2_AOC3,0.14033507349090796
AP1G1_AP1G2,-0.8397396704664066
AP1M1_AP1M2,0.20664468545442183
AP2A1_AP2A2,-2.8230802329336373
AP1B1_AP2B1,-1.9494365818027641
AP3B1_AP3B2,0.16756555539743956
AP3M1_AP3M2,-0.07672491348331252
AP3S1_AP3S2,-0.5919922528711512
APH1A_APH1B,0.593353573164232
AQP12A_AQP12B,1.150867839589144
ARFGAP2_ARFGAP3,0.8170189364485692
ARFGEF1_ARFGEF2,-3.077459072136816
ARFIP1_ARFIP2,-0.2568957313823773
ARG1_ARG2,-1.4759562564574087
ARHGAP10_ARHGAP26,-0.2953215585663954
ARHGAP35_ARHGAP5,0.3309765159081854
ARHGEF6_ARHGEF7,2.136884805547695
ARID1A_ARID1B,-0.6239101292589868
ARL8A_ARL8B,-1.4639552420519473
ARNT_ARNT2,0.6832537011969854
ARPC1A_ARPC1B,-1.9807705057121214
ARPC5_ARPC5L,-2.230819434624479
ASAP1_ASAP2,-0.4741468526156793
ASB14_ASB15,0.7587614272624812
ASF1A_ASF1B,-0.6310941626700098
ASIC1_ASIC2,-0.13266407280043724
ATF2_ATF7,1.4374786306028122
ATG4A_ATG4B,-0.4641891065671793
ATP13A4_ATP13A5,0.44469360706494926
ATP2C1_ATP2C2,-1.1236814886574642
ATP5L_ATP5L2,1.3187990498062578
ATP6V0D1_ATP6V0D2,1.7475952355203719
ATP6V1B1_ATP6V1B2,1.8130094005785604
ATP6V1C1_ATP6V1C2,-1.3743939004976995
ATP6V1E1_ATP6V1E2,-0.5616720369156095
ATP8A1_ATP8A2,1.1240258531948473
ATP8B1_ATP8B4,0.39628698303372645
ATP9A_ATP9B,-0.6310590764701114
ATRN_ATRNL1,0.6986597379526287
ATXN3_ATXN3L,0.9891867153919038
B4GALT1_B4GALT2,0.1594676751808237
B4GALT5_B4GALT6,0.8181815568521984
BARHL1_BARHL2,-0.59971779829197
BCAT1_BCAT2,0.6490035500608724
BCL11A_BCL11B,-0.44067808303041445
BECN1_BECN2,2.3491709137845165
BEST2_BEST4,-0.25428307439998266
BEX1_BEX2,-1.1594536938672693
BHMT_BHMT2,-0.10341281887433378
BICD1_BICD2,-0.3388895129017324
BIRC2_BIRC3,-0.35204046284187557
BMP2_BMP4,-0.9013412543830827
BMP8A_BMP8B,-1.026622943633182
BOD1_BOD1L2,0.3438093598089217
BRD2_BRD3,-2.2105274586908505
BRSK1_BRSK2,0.6682560781435966
ABTB2_BTBD11,1.1414988206337195
BTBD1_BTBD2,-0.41999422396041325
BTBD3_BTBD6,0.15087366925056453
BTF3_BTF3L4,-0.45034343280682004
BTG1_BTG2,1.42283893881537
BTN2A1_BTN2A2,-0.19982653301856854
BTNL3_BTNL8,-0.6052555661350991
BZW1_BZW2,0.33772483975383744
C1GALT1C1_C1GALT1C1L,0.008849355702525857
C1QTNF9_C1QTNF9B,-1.2683944983403896
C2CD4A_C2CD4B,-0.811494438637268
CA10_CA11,-0.3860533916813707
CAB39_CAB39L,-1.4109066319405559
CABP2_CABP5,-0.11618145308337187
CACNA2D1_CACNA2D2,0.39704482820883424
CACNA2D3_CACNA2D4,-0.6752639411926851
CACNG5_CACNG7,0.21674992431545131
CADPS_CADPS2,-0.057051267669372664
CALB1_CALB2,-0.40245428200265737
CALCR_CALCRL,0.19576349793539524
CABP7_CALN1,-0.7730231456648977
CAMK2N1_CAMK2N2,-0.49891388766165745
CAND1_CAND2,-0.9556673200839518
CAP1_CAP2,1.8585395105529365
CAPNS1_CAPNS2,-1.0935785915139957
CAPZA1_CAPZA2,-1.0163727089205141
CASP4_CASP5,2.3485557036209155
CASQ1_CASQ2,0.9852232771923608
CAV1_CAV3,-0.07674805924106086
CBR1_CBR3,1.5363944327866481
CCDC74A_CCDC74B,2.365985028493504
CCNL1_CCNL2,-5.686372020268796
CCNY_CCNYL1,-0.08704599511651073
CCT6A_CCT6B,0.7668817425716714
CD200R1_CD200R1L,-0.012032348590157328
CDC42BPA_CDC42BPB,-0.0010307002380391661
CDH1_CDH3,0.388923816086493
CDH2_CDH4,0.6223983823187689
CDK11A_CDK11B,-2.0777637592777443
CDK14_CDK15,0.37966725475139557
CDK2AP1_CDK2AP2,-1.1929267854923524
CDK4_CDK6,-3.7940259674650787
CDKN2A_CDKN2B,-0.9897891284814325
CDRT15_CDRT15L2,-0.009308876254181598
CDS1_CDS2,-0.9754305735372274
CEACAM3_CEACAM4,-0.8088357611964008
CELF1_CELF2,-0.23505425288320597
CERS2_CERS3,0.31870665581910684
CERS5_CERS6,1.0182636998731833
CETN1_CETN2,-0.27366482549933535
CHD1_CHD2,-0.3930439823283273
CHI3L1_CHI3L2,1.0748582077652538
CHIC1_CHIC2,-0.3801279273573005
CHM_CHML,-2.11955706687866
CHMP1A_CHMP1B,-1.7765127679026902
CHP1_CHP2,2.1818804927898907
CHPF_CHPF2,-0.1664945807662441
CEPT1_CHPT1,-0.9852823116119154
CHRM2_CHRM4,1.099634027038503
CHRFAM7A_CHRNA7,0.8237370488146357
CHRNA10_CHRNA9,1.4638284014604885
